# Updated on: July 06 2021
# NOTE: short arm = nt 10000-125184587; long arm = nt 143184588-248946422 
gene_num,gene,chr,start,end,arm,type,strand,range_start,range_end,overlap
140,SRM,1,11054589,11060053,short,gene,minus,11047240,11066612,
141,EXOSC10,1,11066613,11099869,short,gene,minus,11060054,11106534,
142,MTOR,1,11106535,11273497,short,gene,minus,11099870,11479154,True
143,ANGPTL7,1,11189324,11195981,short,gene,plus,11099870,11273197,True
144,UBIAD1,1,11273198,11299574,short,gene,plus,11195982,11479154,True
145,DISP3,1,11479155,11537583,short,gene,plus,11299575,11648386,
146,FBXO2,1,11648387,11654429,short,gene,minus,11537584,11664199,True
147,FBXO44,1,11654375,11663327,short,gene,plus,11537584,11664199,True
148,FBXO6,1,11664200,11674354,short,gene,plus,11663328,11674479,
149,MAD2L2,1,11674480,11691559,short,gene,minus,11674355,11736120,True
150,DRAXIN,1,11686635,11725857,short,gene,plus,11674355,11736120,True
151,AGTRAP,1,11736121,11750771,short,gene,plus,11725858,11762187,
152,C1orf167,1,11762188,11790223,short,gene,plus,11750772,11806190,True
153,MTHFR,1,11785723,11806103,short,gene,minus,11750772,11806190,True
154,CLCN6,1,11806191,11843130,short,gene,plus,11806104,11845708,
155,NPPA,1,11845709,11847783,short,gene,minus,11843131,11857463,
156,NPPB,1,11857464,11858945,short,gene,minus,11847784,11919590,
157,KIAA2013,1,11919591,11926427,short,gene,minus,11858946,11934716,
158,PLOD1,1,11934717,11975537,short,gene,plus,11926428,11980214,
159,MFN2,1,11980215,12013508,short,gene,plus,11975538,12019465,
160,MIIP,1,12019466,12032045,short,gene,plus,12013509,12063302,
161,TNFRSF8,1,12063303,12144213,short,gene,plus,12032046,12166947,
162,TNFRSF1B,1,12166948,12209222,short,gene,plus,12144214,12230029,
163,VPS13D,1,12230030,12512047,short,gene,plus,12209223,12567909,
164,DHRS3,1,12567910,12618210,short,gene,minus,12512048,12644084,
165,AADACL4,1,12644085,12667076,short,gene,plus,12618211,12716109,
166,AADACL3,1,12716110,12728760,short,gene,plus,12667077,12746199,
167,C1orf158,1,12746200,12763699,short,gene,plus,12728761,12773737,
168,PRAMEF12,1,12773738,12777906,short,gene,plus,12763700,12791396,
169,PRAMEF1,1,12791397,12796628,short,gene,plus,12777907,12824379,
170,PRAMEF11,1,12824380,12831410,short,gene,minus,12796629,12847376,
171,HNRNPCL1,1,12847377,12848720,short,gene,minus,12831411,12857085,
172,PRAMEF2,1,12857086,12861909,short,gene,plus,12848721,12879211,
173,PRAMEF4,1,12879212,12886201,short,gene,minus,12861910,12892895,
174,PRAMEF10,1,12892896,12898270,short,gene,minus,12886202,12916646,
175,PRAMEF7,1,12916647,12920480,short,gene,plus,12898271,12938471,
176,PRAMEF6,1,12938472,12947580,short,gene,minus,12920481,13049475,
177,PRAMEF27,1,13049476,13056575,short,gene,minus,12947581,13060768,
178,HNRNPCL3,1,13060769,13062878,short,gene,plus,13056576,13070773,
179,PRAMEF25,1,13070774,13078038,short,gene,plus,13062879,13115487,
180,HNRNPCL2,1,13115488,13116854,short,gene,minus,13078039,13148906,
181,PRAMEF26,1,13148907,13156009,short,gene,minus,13116855,13163913,
182,HNRNPCL4,1,13163914,13165631,short,gene,minus,13156010,13171847,
183,PRAMEF9,1,13171848,13179459,short,gene,plus,13165632,13196187,
184,PRAMEF13,1,13196188,13201409,short,gene,minus,13179460,13222694,
185,PRAMEF18,1,13222695,13226154,short,gene,minus,13201410,13254196,
186,PRAMEF5,1,13254197,13263435,short,gene,plus,13226155,13281222,
187,PRAMEF8,1,13281223,13285137,short,gene,minus,13263436,13303538,
188,PRAMEF33,1,13303539,13308907,short,gene,plus,13285138,13315580,
189,PRAMEF15,1,13315581,13322598,short,gene,plus,13308908,13341891,
190,PRAMEF14,1,13341892,13347134,short,gene,minus,13322599,13368440,
191,PRAMEF19,1,13368441,13372469,short,gene,minus,13347135,13389631,
192,PRAMEF17,1,13389632,13392629,short,gene,plus,13372470,13410449,
193,PRAMEF20,1,13410450,13421328,short,gene,plus,13392630,13474972,
194,LRRC38,1,13474973,13514003,short,gene,minus,13421329,13583756,
195,PDPN,1,13583757,13617957,short,gene,plus,13514004,13698873,
196,PRDM2,1,13698874,13825079,short,gene,plus,13617958,13893385,
197,KAZN,1,13893386,15118043,short,gene,plus,13825080,15152417,
198,TMEM51,1,15152418,15220478,short,gene,plus,15118044,15236559,
199,FHAD1,1,15236560,15400283,short,gene,plus,15220479,15409887,
200,EFHD2,1,15409888,15430339,short,gene,plus,15400284,15438441,
201,CTRC,1,15438442,15449247,short,gene,plus,15430340,15456731,
202,CELA2A,1,15456732,15472091,short,gene,plus,15449248,15476103,
203,CELA2B,1,15476104,15491395,short,gene,plus,15472092,15491400,
204,CASP9,1,15491401,15524912,short,gene,minus,15491396,15526693,
205,DNAJC16,1,15526694,15571987,short,gene,plus,15524913,15617457,True
206,AGMAT,1,15571699,15585051,short,gene,minus,15524913,15617457,True
207,DDI2,1,15617458,15669044,short,gene,plus,15585052,15681505,True
208,RSC1A1,1,15659713,15662033,short,gene,plus,15585052,15681505,True
209,PLEKHM2,1,15681506,15734769,short,gene,plus,15669045,15735087,
210,SLC25A34,1,15735088,15741392,short,gene,plus,15734770,15742498,
211,TMEM82,1,15742499,15747982,short,gene,plus,15741393,15756169,
212,FBLIM1,1,15756170,15786590,short,gene,plus,15747983,15807161,
213,UQCRHL,1,15807162,15807699,short,gene,minus,15786591,15847706,
214,SPEN,1,15847707,15940456,short,gene,plus,15807700,16004235,True
215,ZBTB17,1,15939933,15976132,short,gene,minus,15807700,16004235,True
216,SRARP,1,16004236,16008807,short,gene,plus,15976133,16014028,
217,HSPB7,1,16014029,16019594,short,gene,minus,16008808,16022035,
218,CLCNKA,1,16022036,16034050,short,gene,plus,16019595,16043781,
219,CLCNKB,1,16043782,16057326,short,gene,plus,16034051,16057768,
220,FAM131C,1,16057769,16073651,short,gene,minus,16057327,16124336,
221,EPHA2,1,16124337,16156104,short,gene,minus,16073652,16197853,
222,ARHGEF19,1,16197854,16212700,short,gene,minus,16156105,16231691,
223,CPLANE2,1,16231692,16237445,short,gene,minus,16212701,16246839,
224,FBXO42,1,16246840,16352480,short,gene,minus,16237446,16367241,
225,SZRD1,1,16367242,16398145,short,gene,plus,16352481,16440723,True
226,SPATA21,1,16395606,16437842,short,gene,minus,16352481,16440723,True
227,NECAP2,1,16440724,16460078,short,gene,plus,16437843,16562322,
228,NBPF1,1,16562323,16613564,short,gene,minus,16460079,16914081,
229,CROCC,1,16914082,16972979,short,gene,plus,16613565,16974501,
230,MFAP2,1,16974502,16981583,short,gene,minus,16972980,16985957,
231,ATP13A2,1,16985958,17011972,short,gene,minus,16981584,17018721,
232,SDHB,1,17018722,17054032,short,gene,minus,17011973,17066760,
233,PADI2,1,17066761,17119453,short,gene,minus,17054033,17205124,
234,PADI1,1,17205125,17246007,short,gene,plus,17119454,17249078,
235,PADI3,1,17249079,17284233,short,gene,plus,17246008,17308194,
236,PADI4,1,17308195,17364004,short,gene,plus,17284234,17372195,
237,PADI6,1,17372196,17401699,short,gene,plus,17364005,17406759,
238,RCC2,1,17406760,17439677,short,gene,minus,17401700,17513441,
239,ARHGEF10L,1,17513442,17697875,short,gene,plus,17439678,17755332,
240,ACTL8,1,17755333,17827063,short,gene,plus,17697876,18107745,
241,IGSF21,1,18107746,18378483,short,gene,plus,17827064,18480929,
242,KLHDC7A,1,18480930,18485974,short,gene,plus,18378484,18630845,
243,PAX7,1,18630846,18748866,short,gene,plus,18485975,18839598,
244,TAS1R2,1,18839599,18859660,short,gene,minus,18748867,18871429,
245,ALDH4A1,1,18871430,18902555,short,gene,minus,18859661,18904279,
246,IFFO2,1,18904280,18956676,short,gene,minus,18902556,19074507,
247,UBR4,1,19074508,19214332,short,gene,minus,18956677,19215659,
248,EMC1,1,19215660,19251524,short,gene,minus,19214333,19251798,
249,MRTO4,1,19251799,19260128,short,gene,plus,19251525,19274228,
250,AKR7A3,1,19274229,19289362,short,gene,minus,19260129,19302707,
251,AKR7A2,1,19302708,19312146,short,gene,minus,19289363,19312301,
252,SLC66A1,1,19312302,19332611,short,gene,plus,19312147,19338774,
253,CAPZB,1,19338775,19485539,short,gene,minus,19332612,19596978,
254,MICOS10,1,19596979,19629820,short,gene,plus,19485540,19643228,True
255,MICOS10-NBL1,1,19596979,19658452,short,gene,plus,19485540,19664874,True
256,NBL1,1,19643229,19658452,short,gene,plus,19629821,19664874,True
257,HTR6,1,19664875,19680966,short,gene,plus,19658453,19682212,
258,TMCO4,1,19682213,19800385,short,gene,minus,19680967,19814028,
259,RNF186,1,19814029,19815283,short,gene,minus,19800386,19881707,
260,OTUD3,1,19881708,19912945,short,gene,plus,19815284,19920008,
261,PLA2G2E,1,19920009,19923617,short,gene,minus,19912946,19975430,
262,PLA2G2A,1,19975431,19980434,short,gene,minus,19923618,20028348,
263,PLA2G5,1,20028349,20091911,short,gene,plus,19980435,20111938,
264,PLA2G2D,1,20111939,20119536,short,gene,minus,20091912,20139322,
265,PLA2G2F,1,20139323,20150386,short,gene,plus,20119537,20163054,
266,PLA2G2C,1,20163055,20186518,short,gene,minus,20150387,20290874,True
267,UBXN10,1,20183007,20196050,short,gene,plus,20150387,20290874,True
268,VWA5B1,1,20290875,20360442,short,gene,plus,20196051,20482390,
269,CAMK2N1,1,20482391,20486210,short,gene,minus,20360443,20499447,
270,MUL1,1,20499448,20508483,short,gene,minus,20486211,20552572,
271,FAM43B,1,20552573,20555020,short,gene,plus,20508484,20589096,
272,CDA,1,20589097,20618903,short,gene,plus,20555021,20633457,
273,PINK1,1,20633458,20651511,short,gene,plus,20618904,20651776,
274,DDOST,1,20651777,20661369,short,gene,minus,20651512,20664013,
275,KIF17,1,20664014,20718007,short,gene,minus,20661370,20719730,
276,SH2D5,1,20719731,20732703,short,gene,minus,20718008,20740265,
277,HP1BP3,1,20740266,20787307,short,gene,minus,20732704,20806291,
278,EIF4G3,1,20806292,21176897,short,gene,minus,20787308,21217249,
279,ECE1,1,21217250,21345504,short,gene,minus,21176898,21436774,
280,NBPF3,1,21436775,21484900,short,gene,plus,21345505,21508983,
281,ALPL,1,21508984,21578412,short,gene,plus,21484901,21596220,
282,RAP1GAP,1,21596221,21669413,short,gene,minus,21578413,21678297,
283,USP48,1,21678298,21784146,short,gene,minus,21669414,21812264,
284,LDLRAD2,1,21812265,21825225,short,gene,plus,21784147,21977021,True
285,HSPG2,1,21822244,21937310,short,gene,minus,21784147,21977021,True
286,CELA3B,1,21977022,21989354,short,gene,plus,21937311,22001656,
287,CELA3A,1,22001657,22012542,short,gene,plus,21989355,22052708,
288,CDC42,1,22052709,22101360,short,gene,plus,22012543,22117307,
289,WNT4,1,22117308,22143981,short,gene,minus,22101361,22428837,
290,ZBTB40,1,22428838,22531154,short,gene,plus,22143982,22563488,
291,EPHA8,1,22563489,22603595,short,gene,plus,22531155,22636462,
292,C1QA,1,22636463,22639678,short,gene,plus,22603596,22643632,
293,C1QC,1,22643633,22648108,short,gene,plus,22639679,22653235,
294,C1QB,1,22653236,22661637,short,gene,plus,22648109,22710769,
295,EPHB2,1,22710770,22921500,short,gene,plus,22661638,22953042,
296,LACTBL1,1,22953043,22972866,short,gene,minus,22921501,23010833,
297,TEX46,1,23010834,23015852,short,gene,minus,22972867,23019442,
298,KDM1A,1,23019443,23083691,short,gene,plus,23015853,23084029,
299,LUZP1,1,23084030,23177808,short,gene,minus,23083692,23191894,
300,HTR1D,1,23191895,23217502,short,gene,minus,23177809,23304687,
301,HNRNPR,1,23304688,23344316,short,gene,minus,23217503,23359447,
302,ZNF436,1,23359448,23369836,short,gene,minus,23344317,23380908,
303,TCEA3,1,23380909,23424776,short,gene,minus,23369837,23428562,
304,ASAP3,1,23428563,23484631,short,gene,minus,23424777,23505695,
305,E2F2,1,23505696,23531250,short,gene,minus,23484632,23557925,
306,ID3,1,23557926,23559501,short,gene,minus,23531251,23691778,
307,RPL11,1,23691779,23696835,short,gene,plus,23559502,23743470,
308,ELOA,1,23743471,23762059,short,gene,plus,23696836,23778416,
309,PITHD1,1,23778417,23788232,short,gene,plus,23762060,23790788,
310,LYPLA2,1,23790789,23795539,short,gene,plus,23788233,23795598,
311,GALE,1,23795599,23800754,short,gene,minus,23795540,23801884,
312,HMGCL,1,23801885,23825429,short,gene,minus,23800755,23845076,
313,FUCA1,1,23845077,23868332,short,gene,minus,23825430,23870514,
314,CNR2,1,23870515,23913362,short,gene,minus,23868333,23959163,
315,PNRC2,1,23959164,23963462,short,gene,plus,23913363,23964346,
316,SRSF10,1,23964347,23980370,short,gene,minus,23963463,24056040,
317,MYOM3,1,24056041,24112135,short,gene,minus,23980371,24119770,
318,IL22RA1,1,24119771,24143179,short,gene,minus,24112136,24154155,
319,IFNLR1,1,24154156,24187295,short,gene,minus,24143180,24319332,
320,GRHL3,1,24319333,24364482,short,gene,plus,24187296,24413359,True
321,STPG1,1,24356999,24415533,short,gene,minus,24187296,24502343,True
322,NIPAL3,1,24413360,24472983,short,gene,plus,24364483,24502343,True
323,RCAN3,1,24502344,24541040,short,gene,plus,24472984,24556086,
324,NCMAP,1,24556087,24609328,short,gene,plus,24541041,24643272,
325,SRRM1,1,24643273,24673281,short,gene,plus,24609329,24745446,
326,CLIC4,1,24745447,24844321,short,gene,plus,24673282,24899510,
327,RUNX3,1,24899511,24965158,short,gene,minus,24844322,25222275,
328,SYF2,1,25222276,25232502,short,gene,minus,24965159,25242248,
329,RSRP1,1,25242249,25338254,short,gene,minus,25232503,25338333,True
330,RHD,1,25272393,25330445,short,gene,plus,25232503,25338333,True
331,TMEM50A,1,25338334,25362361,short,gene,plus,25338255,25430896,True
332,RHCE,1,25360659,25430193,short,gene,minus,25338255,25430896,True
333,MACO1,1,25430897,25500209,short,gene,plus,25430194,25543587,
334,LDLRAP1,1,25543588,25590400,short,gene,plus,25500210,25616790,
335,MAN1C1,1,25616791,25786207,short,gene,plus,25590401,25800192,
336,SELENON,1,25800193,25818221,short,gene,plus,25786208,25819953,
337,MTFR1L,1,25819954,25832938,short,gene,plus,25818222,25861483,True
338,AUNIP,1,25831906,25859457,short,gene,minus,25818222,25861483,True
339,PAQR7,1,25861484,25876707,short,gene,minus,25859458,25884178,
340,STMN1,1,25884179,25906880,short,gene,minus,25876708,25959763,
341,PAFAH2,1,25959764,25998164,short,gene,minus,25906881,26021774,
342,EXTL1,1,26021775,26036464,short,gene,plus,25998165,26037251,
343,SLC30A2,1,26037252,26046118,short,gene,minus,26036465,26051300,
344,TRIM63,1,26051301,26067633,short,gene,minus,26046119,26109130,
345,PDIK1L,1,26109131,26125555,short,gene,plus,26067634,26159078,
346,FAM110D,1,26159079,26163962,short,gene,plus,26125556,26164100,
347,C1orf232,1,26164101,26168963,short,gene,minus,26163963,26169907,
348,ZNF593,1,26169908,26170873,short,gene,plus,26168964,26177490,
349,CNKSR1,1,26177491,26189884,short,gene,plus,26170874,26189961,
350,CATSPER4,1,26189962,26202964,short,gene,plus,26189885,26234178,
351,CEP85,1,26234179,26278808,short,gene,plus,26202965,26280085,
352,SH3BGRL3,1,26280086,26281522,short,gene,plus,26278809,26282281,
353,UBXN11,1,26282282,26318355,short,gene,minus,26281523,26321859,True
354,CD52,1,26317958,26320523,short,gene,plus,26281523,26321859,True
355,CRYBG2,1,26321860,26354130,short,gene,minus,26320524,26361631,
356,ZNF683,1,26361632,26374536,short,gene,minus,26354131,26410777,
357,LIN28A,1,26410778,26429728,short,gene,plus,26374537,26432320,
358,DHDDS,1,26432321,26471306,short,gene,plus,26429729,26472439,
359,HMGN2,1,26472440,26476642,short,gene,plus,26471307,26529760,
360,RPS6KA1,1,26529761,26575028,short,gene,plus,26476643,26696014,
361,ARID1A,1,26696015,26782104,short,gene,plus,26575029,26787053,
362,PIGV,1,26787054,26800659,short,gene,plus,26782105,26826687,
363,ZDHHC18,1,26826688,26857604,short,gene,plus,26800660,26863148,
364,SFN,1,26863149,26864456,short,gene,plus,26857605,26876131,
365,GPN2,1,26876132,26890283,short,gene,minus,26864457,26890487,
366,GPATCH3,1,26890488,26900467,short,gene,minus,26890284,26900568,
367,NUDC,1,26900569,26946871,short,gene,plus,26900468,26949555,True
368,NR0B2,1,26911489,26914110,short,gene,minus,26900468,26949555,True
369,KDF1,1,26949556,26960496,short,gene,minus,26946872,26993662,
370,TRNP1,1,26993663,27000891,short,gene,plus,26960497,27005019,
371,TENT5B,1,27005020,27012850,short,gene,minus,27000892,27098808,
372,SLC9A1,1,27098809,27155125,short,gene,minus,27012851,27234612,
373,WDTC1,1,27234613,27308636,short,gene,plus,27155126,27322162,
374,TMEM222,1,27322163,27336400,short,gene,plus,27308637,27342021,
375,SYTL1,1,27342022,27353932,short,gene,plus,27336401,27355178,
376,MAP3K6,1,27355179,27368037,short,gene,minus,27353933,27369109,
377,FCN3,1,27369110,27374852,short,gene,minus,27368038,27379170,
378,CD164L2,1,27379171,27383333,short,gene,minus,27374853,27392621,
379,GPR3,1,27392622,27395814,short,gene,plus,27383334,27404229,
380,WASF2,1,27404230,27490167,short,gene,minus,27395815,27534244,
381,AHDC1,1,27534245,27604178,short,gene,minus,27490168,27612063,
382,FGR,1,27612064,27635561,short,gene,minus,27604179,27666060,
383,IFI6,1,27666061,27672229,short,gene,minus,27635562,27725960,
384,FAM76A,1,27725961,27763116,short,gene,plus,27672230,27773218,
385,STX12,1,27773219,27824443,short,gene,plus,27763117,27830781,
386,PPP1R8,1,27830782,27851676,short,gene,plus,27824444,27872530,
387,THEMIS2,1,27872531,27886679,short,gene,plus,27851677,27891523,
388,RPA2,1,27891524,27914797,short,gene,minus,27886680,27934954,
389,SMPDL3B,1,27934955,27959152,short,gene,plus,27914798,27959556,
390,XKR8,1,27959557,27968093,short,gene,plus,27959153,27970343,
391,EYA3,1,27970344,28088671,short,gene,minus,27968094,28147165,
392,PTAFR,1,28147166,28193856,short,gene,minus,28088672,28200277,
