# Updated on: July 06, 2021
gene,chr,start,end,arm,type,strand
ANGPTL7,1,11189324,11195981,short,gene,plus
UBIAD1,1,11273198,11299574,short,gene,plus
MTOR,1,11273497,11106535,short,gene,minus
DISP3,1,11479155,11537583,short,gene,plus
FBXO44,1,11654375,11663327,short,gene,plus
FBXO2,1,11654429,11648387,short,gene,minus
FBXO6,1,11664200,11674354,short,gene,plus
DRAXIN,1,11686635,11725857,short,gene,plus
MAD2L2,1,11691559,11674480,short,gene,minus
AGTRAP,1,11736121,11750771,short,gene,plus
C1orf167,1,11762188,11790223,short,gene,plus
MTHFR,1,11806103,11785723,short,gene,minus
CLCN6,1,11806191,11843130,short,gene,plus
NPPA,1,11847783,11845709,short,gene,minus
NPPB,1,11858945,11857464,short,gene,minus
KIAA2013,1,11926427,11919591,short,gene,minus
PLOD1,1,11934717,11975537,short,gene,plus
MFN2,1,11980215,12013508,short,gene,plus
MIIP,1,12019466,12032045,short,gene,plus
TNFRSF8,1,12063303,12144213,short,gene,plus
TNFRSF1B,1,12166948,12209222,short,gene,plus
VPS13D,1,12230030,12512047,short,gene,plus
DHRS3,1,12618210,12567910,short,gene,minus
AADACL4,1,12644085,12667076,short,gene,plus
AADACL3,1,12716110,12728760,short,gene,plus
C1orf158,1,12746200,12763699,short,gene,plus
PRAMEF12,1,12773738,12777906,short,gene,plus
PRAMEF1,1,12791397,12796628,short,gene,plus
PRAMEF11,1,12831410,12824380,short,gene,minus
HNRNPCL1,1,12848720,12847377,short,gene,minus
PRAMEF2,1,12857086,12861909,short,gene,plus
PRAMEF4,1,12886201,12879212,short,gene,minus
PRAMEF10,1,12898270,12892896,short,gene,minus
PRAMEF7,1,12916647,12920480,short,gene,plus
PRAMEF6,1,12947580,12938472,short,gene,minus
PRAMEF27,1,13056575,13049476,short,gene,minus
HNRNPCL3,1,13060769,13062878,short,gene,plus
PRAMEF25,1,13070774,13078038,short,gene,plus
HNRNPCL2,1,13116854,13115488,short,gene,minus
PRAMEF26,1,13156009,13148907,short,gene,minus
HNRNPCL4,1,13165631,13163914,short,gene,minus
PRAMEF9,1,13171848,13179459,short,gene,plus
PRAMEF13,1,13201409,13196188,short,gene,minus
PRAMEF18,1,13226154,13222695,short,gene,minus
PRAMEF5,1,13254197,13263435,short,gene,plus
PRAMEF8,1,13285137,13281223,short,gene,minus
PRAMEF33,1,13303539,13308907,short,gene,plus
PRAMEF15,1,13315581,13322598,short,gene,plus
PRAMEF14,1,13347134,13341892,short,gene,minus
PRAMEF19,1,13372469,13368441,short,gene,minus
PRAMEF17,1,13389632,13392629,short,gene,plus
PRAMEF20,1,13410450,13421328,short,gene,plus
LRRC38,1,13514003,13474973,short,gene,minus
PDPN,1,13583757,13617957,short,gene,plus
PRDM2,1,13698874,13825079,short,gene,plus
KAZN,1,13893386,15118043,short,gene,plus
TMEM51,1,15152418,15220478,short,gene,plus
FHAD1,1,15236560,15400283,short,gene,plus
EFHD2,1,15409888,15430339,short,gene,plus
CTRC,1,15438442,15449247,short,gene,plus
CELA2A,1,15456732,15472091,short,gene,plus
CELA2B,1,15476104,15491395,short,gene,plus
CASP9,1,15524912,15491401,short,gene,minus
DNAJC16,1,15526694,15571987,short,gene,plus
AGMAT,1,15585051,15571699,short,gene,minus
DDI2,1,15617458,15669044,short,gene,plus
RSC1A1,1,15659713,15662033,short,gene,plus
PLEKHM2,1,15681506,15734769,short,gene,plus
SLC25A34,1,15735088,15741392,short,gene,plus
TMEM82,1,15742499,15747982,short,gene,plus
FBLIM1,1,15756170,15786590,short,gene,plus
UQCRHL,1,15807699,15807162,short,gene,minus
SPEN,1,15847707,15940456,short,gene,plus
ZBTB17,1,15976132,15939933,short,gene,minus
SRARP,1,16004236,16008807,short,gene,plus
HSPB7,1,16019594,16014029,short,gene,minus
CLCNKA,1,16022036,16034050,short,gene,plus
CLCNKB,1,16043782,16057326,short,gene,plus
FAM131C,1,16073651,16057769,short,gene,minus
EPHA2,1,16156104,16124337,short,gene,minus
ARHGEF19,1,16212700,16197854,short,gene,minus
CPLANE2,1,16237445,16231692,short,gene,minus
FBXO42,1,16352480,16246840,short,gene,minus
SZRD1,1,16367242,16398145,short,gene,plus
SPATA21,1,16437842,16395606,short,gene,minus
NECAP2,1,16440724,16460078,short,gene,plus
NBPF1,1,16613564,16562323,short,gene,minus
CROCC,1,16914082,16972979,short,gene,plus
MFAP2,1,16981583,16974502,short,gene,minus
ATP13A2,1,17011972,16985958,short,gene,minus
SDHB,1,17054032,17018722,short,gene,minus
PADI2,1,17119453,17066761,short,gene,minus
PADI1,1,17205125,17246007,short,gene,plus
PADI3,1,17249079,17284233,short,gene,plus
PADI4,1,17308195,17364004,short,gene,plus
PADI6,1,17372196,17401699,short,gene,plus
RCC2,1,17439677,17406760,short,gene,minus
ARHGEF10L,1,17513442,17697875,short,gene,plus
ACTL8,1,17755333,17827063,short,gene,plus
IGSF21,1,18107746,18378483,short,gene,plus
KLHDC7A,1,18480930,18485974,short,gene,plus
PAX7,1,18630846,18748866,short,gene,plus
TAS1R2,1,18859660,18839599,short,gene,minus
ALDH4A1,1,18902555,18871430,short,gene,minus
IFFO2,1,18956676,18904280,short,gene,minus
UBR4,1,19214332,19074508,short,gene,minus
EMC1,1,19251524,19215660,short,gene,minus
MRTO4,1,19251799,19260128,short,gene,plus
AKR7A3,1,19289362,19274229,short,gene,minus
AKR7A2,1,19312146,19302708,short,gene,minus
SLC66A1,1,19312302,19332611,short,gene,plus
CAPZB,1,19485539,19338775,short,gene,minus
MICOS10,1,19596979,19629820,short,gene,plus
MICOS10-NBL1,1,19596979,19658452,short,gene,plus
NBL1,1,19643229,19658452,short,gene,plus
HTR6,1,19664875,19680966,short,gene,plus
TMCO4,1,19800385,19682213,short,gene,minus
RNF186,1,19815283,19814029,short,gene,minus
OTUD3,1,19881708,19912945,short,gene,plus
PLA2G2E,1,19923617,19920009,short,gene,minus
PLA2G2A,1,19980434,19975431,short,gene,minus
PLA2G5,1,20028349,20091911,short,gene,plus
PLA2G2D,1,20119536,20111939,short,gene,minus
PLA2G2F,1,20139323,20150386,short,gene,plus
UBXN10,1,20183007,20196050,short,gene,plus
PLA2G2C,1,20186518,20163055,short,gene,minus
VWA5B1,1,20290875,20360442,short,gene,plus
CAMK2N1,1,20486210,20482391,short,gene,minus
MUL1,1,20508483,20499448,short,gene,minus
FAM43B,1,20552573,20555020,short,gene,plus
CDA,1,20589097,20618903,short,gene,plus
PINK1,1,20633458,20651511,short,gene,plus
DDOST,1,20661369,20651777,short,gene,minus
KIF17,1,20718007,20664014,short,gene,minus
SH2D5,1,20732703,20719731,short,gene,minus
HP1BP3,1,20787307,20740266,short,gene,minus
EIF4G3,1,21176897,20806292,short,gene,minus
ECE1,1,21345504,21217250,short,gene,minus
NBPF3,1,21436775,21484900,short,gene,plus
ALPL,1,21508984,21578412,short,gene,plus
RAP1GAP,1,21669413,21596221,short,gene,minus
USP48,1,21784146,21678298,short,gene,minus
LDLRAD2,1,21812265,21825225,short,gene,plus
HSPG2,1,21937310,21822244,short,gene,minus
CELA3B,1,21977022,21989354,short,gene,plus
CELA3A,1,22001657,22012542,short,gene,plus
CDC42,1,22052709,22101360,short,gene,plus
WNT4,1,22143981,22117308,short,gene,minus
ZBTB40,1,22428838,22531154,short,gene,plus
EPHA8,1,22563489,22603595,short,gene,plus
C1QA,1,22636463,22639678,short,gene,plus
C1QC,1,22643633,22648108,short,gene,plus
C1QB,1,22653236,22661637,short,gene,plus
EPHB2,1,22710770,22921500,short,gene,plus
LACTBL1,1,22972866,22953043,short,gene,minus
TEX46,1,23015852,23010834,short,gene,minus
KDM1A,1,23019443,23083691,short,gene,plus
LUZP1,1,23177808,23084030,short,gene,minus
HTR1D,1,23217502,23191895,short,gene,minus
HNRNPR,1,23344316,23304688,short,gene,minus
ZNF436,1,23369836,23359448,short,gene,minus
TCEA3,1,23424776,23380909,short,gene,minus
ASAP3,1,23484631,23428563,short,gene,minus
E2F2,1,23531250,23505696,short,gene,minus
ID3,1,23559501,23557926,short,gene,minus
RPL11,1,23691779,23696835,short,gene,plus
ELOA,1,23743471,23762059,short,gene,plus
PITHD1,1,23778417,23788232,short,gene,plus
LYPLA2,1,23790789,23795539,short,gene,plus
GALE,1,23800754,23795599,short,gene,minus
HMGCL,1,23825429,23801885,short,gene,minus
FUCA1,1,23868332,23845077,short,gene,minus
CNR2,1,23913362,23870515,short,gene,minus
PNRC2,1,23959164,23963462,short,gene,plus
SRSF10,1,23980370,23964347,short,gene,minus
MYOM3,1,24112135,24056041,short,gene,minus
IL22RA1,1,24143179,24119771,short,gene,minus
IFNLR1,1,24187295,24154156,short,gene,minus
GRHL3,1,24319333,24364482,short,gene,plus
NIPAL3,1,24413360,24472983,short,gene,plus
STPG1,1,24415533,24356999,short,gene,minus
RCAN3,1,24502344,24541040,short,gene,plus
NCMAP,1,24556087,24609328,short,gene,plus
SRRM1,1,24643273,24673281,short,gene,plus
CLIC4,1,24745447,24844321,short,gene,plus
RUNX3,1,24965158,24899511,short,gene,minus
SYF2,1,25232502,25222276,short,gene,minus
RHD,1,25272393,25330445,short,gene,plus
RSRP1,1,25338254,25242249,short,gene,minus
TMEM50A,1,25338334,25362361,short,gene,plus
RHCE,1,25430193,25360659,short,gene,minus
MACO1,1,25430897,25500209,short,gene,plus
LDLRAP1,1,25543588,25590400,short,gene,plus
MAN1C1,1,25616791,25786207,short,gene,plus
SELENON,1,25800193,25818221,short,gene,plus
MTFR1L,1,25819954,25832938,short,gene,plus
AUNIP,1,25859457,25831906,short,gene,minus
PAQR7,1,25876707,25861484,short,gene,minus
STMN1,1,25906880,25884179,short,gene,minus
PAFAH2,1,25998164,25959764,short,gene,minus
EXTL1,1,26021775,26036464,short,gene,plus
SLC30A2,1,26046118,26037252,short,gene,minus
TRIM63,1,26067633,26051301,short,gene,minus
PDIK1L,1,26109131,26125555,short,gene,plus
FAM110D,1,26159079,26163962,short,gene,plus
C1orf232,1,26168963,26164101,short,gene,minus
ZNF593,1,26169908,26170873,short,gene,plus
CNKSR1,1,26177491,26189884,short,gene,plus
CATSPER4,1,26189962,26202964,short,gene,plus
CEP85,1,26234179,26278808,short,gene,plus
SH3BGRL3,1,26280086,26281522,short,gene,plus
CD52,1,26317958,26320523,short,gene,plus
UBXN11,1,26318355,26282282,short,gene,minus
CRYBG2,1,26354130,26321860,short,gene,minus
ZNF683,1,26374536,26361632,short,gene,minus
LIN28A,1,26410778,26429728,short,gene,plus
DHDDS,1,26432321,26471306,short,gene,plus
HMGN2,1,26472440,26476642,short,gene,plus
RPS6KA1,1,26529761,26575028,short,gene,plus
ARID1A,1,26696015,26782104,short,gene,plus
PIGV,1,26787054,26800659,short,gene,plus
ZDHHC18,1,26826688,26857604,short,gene,plus
SFN,1,26863149,26864456,short,gene,plus
GPN2,1,26890283,26876132,short,gene,minus
GPATCH3,1,26900467,26890488,short,gene,minus
NUDC,1,26900569,26946871,short,gene,plus
NR0B2,1,26914110,26911489,short,gene,minus
KDF1,1,26960496,26949556,short,gene,minus
TRNP1,1,26993663,27000891,short,gene,plus
TENT5B,1,27012850,27005020,short,gene,minus
SLC9A1,1,27155125,27098809,short,gene,minus
WDTC1,1,27234613,27308636,short,gene,plus
TMEM222,1,27322163,27336400,short,gene,plus
SYTL1,1,27342022,27353932,short,gene,plus
MAP3K6,1,27368037,27355179,short,gene,minus
FCN3,1,27374852,27369110,short,gene,minus
CD164L2,1,27383333,27379171,short,gene,minus
GPR3,1,27392622,27395814,short,gene,plus
WASF2,1,27490167,27404230,short,gene,minus
AHDC1,1,27604178,27534245,short,gene,minus
FGR,1,27635561,27612064,short,gene,minus
IFI6,1,27672229,27666061,short,gene,minus
FAM76A,1,27725961,27763116,short,gene,plus
STX12,1,27773219,27824443,short,gene,plus
PPP1R8,1,27830782,27851676,short,gene,plus
THEMIS2,1,27872531,27886679,short,gene,plus
RPA2,1,27914797,27891524,short,gene,minus
SMPDL3B,1,27934955,27959152,short,gene,plus
XKR8,1,27959557,27968093,short,gene,plus
EYA3,1,28088671,27970344,short,gene,minus
PTAFR,1,28193856,28147166,short,gene,minus
DNAJC8,1,28233029,28200278,short,gene,minus
ATP5IF1,1,28236124,28238100,short,gene,plus
SESN2,1,28259452,28282491,short,gene,plus
MED18,1,28329040,28335967,short,gene,plus
PHACTR4,1,28369740,28500364,short,gene,plus
RCC1,1,28506043,28538989,short,gene,plus
TRNAU1AP,1,28553085,28578545,short,gene,plus
RAB42,1,28592265,28596666,short,gene,plus
TAF12,1,28648707,28602850,short,gene,minus
GMEB1,1,28668782,28719353,short,gene,plus
YTHDF2,1,28736624,28769775,short,gene,plus
OPRD1,1,28812170,28871267,short,gene,plus
EPB41,1,28887100,29120041,short,gene,plus
TMEM200B,1,29129138,29119429,short,gene,minus
SRSF4,1,29181900,29147743,short,gene,minus
MECR,1,29230948,29192657,short,gene,minus
PTPRU,1,29236522,29326802,short,gene,plus
MATN1,1,30723585,30711277,short,gene,minus
LAPTM5,1,30757840,30732469,short,gene,minus
SDC3,1,30909735,30869466,short,gene,minus
PUM1,1,31065717,30931506,short,gene,minus
NKAIN1,1,31239887,31179270,short,gene,minus
SNRNP40,1,31296788,31259568,short,gene,minus
ZCCHC17,1,31297032,31365722,short,gene,plus
FABP3,1,31373618,31359595,short,gene,minus
SERINC2,1,31409777,31434678,short,gene,plus
TINAGL1,1,31576384,31587686,short,gene,plus
HCRTR1,1,31617689,31632518,short,gene,plus
PEF1,1,31644876,31629866,short,gene,minus
COL16A1,1,31704162,31652263,short,gene,minus
ADGRB2,1,31764340,31727105,short,gene,minus
SPOCD1,1,31816022,31790422,short,gene,minus
PTP4A2,1,31938368,31906421,short,gene,minus
KHDRBS1,1,32013868,32060850,short,gene,plus
TMEM39B,1,32072031,32102866,short,gene,plus
KPNA6,1,32108043,32176563,short,gene,plus
TXLNA,1,32179669,32198285,short,gene,plus
CCDC28B,1,32200595,32205387,short,gene,plus
IQCC,1,32205671,32208682,short,gene,plus
DCDC2B,1,32208813,32216192,short,gene,plus
EIF3I,1,32221584,32236170,short,gene,plus
TMEM234,1,32222353,32204807,short,gene,minus
FAM167B,1,32247222,32248856,short,gene,plus
LCK,1,32251265,32286165,short,gene,plus
HDAC1,1,32292083,32333628,short,gene,plus
MARCKSL1,1,32336233,32333839,short,gene,minus
TSSK3,1,32352720,32365265,short,gene,plus
FAM229A,1,32362485,32361270,short,gene,minus
BSDC1,1,32394441,32364633,short,gene,minus
ZBTB8B,1,32465072,32496686,short,gene,plus
ZBTB8A,1,32539427,32605941,short,gene,plus
ZBTB8OS,1,32651008,32620818,short,gene,minus
RBBP4,1,32651208,32686211,short,gene,plus
SYNC,1,32703596,32679906,short,gene,minus
KIAA1522,1,32741830,32774970,short,gene,plus
S100PBP,1,32816767,32858879,short,gene,plus
YARS1,1,32817385,32775238,short,gene,minus
FNDC5,1,32872484,32862268,short,gene,minus
HPCA,1,32885965,32894646,short,gene,plus
TMEM54,1,32901389,32894595,short,gene,minus
RNF19B,1,32965266,32932498,short,gene,minus
AK2,1,33036883,33007940,short,gene,minus
AZIN2,1,33081152,33162288,short,gene,plus
TRIM62,1,33184774,33145399,short,gene,minus
ZNF362,1,33256307,33300719,short,gene,plus
A3GALT2,1,33321098,33306766,short,gene,minus
PHC2,1,33431095,33323626,short,gene,minus
ZSCAN20,1,33472591,33504253,short,gene,plus
HMGB4,1,33860475,33864791,short,gene,plus
CSMD2,1,34165842,33513998,short,gene,minus
C1orf94,1,34166993,34219131,short,gene,plus
GJB5,1,34754777,34758513,short,gene,plus
GJB4,1,34759740,34762327,short,gene,plus
GJB3,1,34781214,34786364,short,gene,plus
GJA4,1,34792958,34795747,short,gene,plus
SMIM12,1,34859749,34850362,short,gene,minus
DLGAP3,1,34929650,34862120,short,gene,minus
TMEM35B,1,34985347,34981526,short,gene,minus
ZMYM6,1,35031945,34986165,short,gene,minus
ZMYM1,1,35059786,35116458,short,gene,plus
SFPQ,1,35193174,35176380,short,gene,minus
ZMYM4,1,35268694,35422058,short,gene,plus
KIAA0319L,1,35557603,35433490,short,gene,minus
NCDN,1,35557799,35566779,short,gene,plus
TFAP2E,1,35568739,35595591,short,gene,plus
PSMB2,1,35641526,35599541,short,gene,minus
C1orf216,1,35718884,35713877,short,gene,minus
CLSPN,1,35769985,35720213,short,gene,minus
AGO4,1,35807630,35857890,short,gene,plus
AGO1,1,35869761,35930532,short,gene,plus
AGO3,1,35925683,36072500,short,gene,plus
TEKT2,1,36084094,36088275,short,gene,plus
ADPRS,1,36088885,36093932,short,gene,plus
COL8A2,1,36126207,36095239,short,gene,minus
TRAPPC3,1,36156053,36136572,short,gene,minus
MAP7D1,1,36156150,36180849,short,gene,plus
THRAP3,1,36224429,36305357,short,gene,plus
SH3D21,1,36306348,36329221,short,gene,plus
EVA1B,1,36324154,36322030,short,gene,minus
STK40,1,36385924,36339628,short,gene,minus
LSM10,1,36397908,36393436,short,gene,minus
OSCP1,1,36450485,36417906,short,gene,minus
MRPS15,1,36464384,36455718,short,gene,minus
CSF3R,1,36483314,36466043,short,gene,minus
GRIK3,1,37034515,36795527,short,gene,minus
ZC3H12A,1,37474518,37484377,short,gene,plus
MEAF6,1,37514766,37489993,short,gene,minus
SNIP1,1,37554293,37534449,short,gene,minus
DNALI1,1,37556940,37566857,short,gene,plus
GNL2,1,37595937,37566816,short,gene,minus
RSPO1,1,37634906,37611350,short,gene,minus
C1orf109,1,37692336,37681570,short,gene,minus
CDCA8,1,37692516,37709719,short,gene,plus
EPHA10,1,37765120,37713888,short,gene,minus
MANEAL,1,37793816,37801133,short,gene,plus
C1orf122,1,37807790,37809454,short,gene,plus
YRDC,1,37808208,37802945,short,gene,minus
MTF1,1,37859614,37809570,short,gene,minus
INPP5B,1,37947095,37860697,short,gene,minus
SF3A3,1,37990022,37956975,short,gene,minus
FHL3,1,38005691,37996765,short,gene,minus
UTP11,1,38012716,38024820,short,gene,plus
POU3F1,1,38046793,38043829,short,gene,minus
RRAGC,1,38859772,38838198,short,gene,minus
MYCBP,1,38873378,38862490,short,gene,minus
GJA9,1,38881587,38874069,short,gene,minus
RHBDL2,1,38941830,38885807,short,gene,minus
AKIRIN1,1,38991276,39006059,short,gene,plus
NDUFS5,1,39026350,39034615,short,gene,plus
MACF1,1,39084167,39487138,short,gene,plus
KIAA0754,1,39409073,39416482,short,gene,plus
BMP8A,1,39491626,39529869,short,gene,plus
PABPC4,1,39576790,39560816,short,gene,minus
HEYL,1,39639643,39623435,short,gene,minus
NT5C1A,1,39672107,39651229,short,gene,minus
HPCAL4,1,39691433,39678648,short,gene,minus
PPIE,1,39738845,39765698,short,gene,plus
OXCT2,1,39771348,39769523,short,gene,minus
BMP8B,1,39788865,39757182,short,gene,minus
TRIT1,1,39883511,39838110,short,gene,minus
MYCL,1,39901917,39895428,short,gene,minus
MFSD2A,1,39955145,39969956,short,gene,plus
CAP1,1,40040240,40072648,short,gene,plus
PPT1,1,40097252,40071461,short,gene,minus
RLF,1,40161387,40240921,short,gene,plus
TMCO2,1,40247937,40251684,short,gene,plus
ZMPSTE24,1,40258078,40294180,short,gene,plus
COL9A2,1,40317653,40300487,short,gene,minus
SMAP2,1,40373672,40423326,short,gene,plus
ZFP69B,1,40450064,40466765,short,gene,plus
ZFP69,1,40477220,40496343,short,gene,plus
EXO5,1,40508741,40516050,short,gene,plus
ZNF684,1,40531637,40548167,short,gene,plus
NFYC,1,40691699,40771603,short,gene,plus
RIMS3,1,40692104,40620680,short,gene,minus
KCNQ4,1,40783787,40840457,short,gene,plus
CITED4,1,40862363,40861054,short,gene,minus
CTPS1,1,40979696,41012565,short,gene,plus
SLFNL1,1,41024704,41015597,short,gene,minus
SCMH1,1,41242306,41027202,short,gene,minus
FOXO6,1,41361434,41383590,short,gene,plus
EDN2,1,41484699,41478775,short,gene,minus
HIVEP3,1,42035934,41506365,short,gene,minus
GUCA2B,1,42153410,42155820,short,gene,plus
GUCA2A,1,42164745,42162690,short,gene,minus
FOXJ3,1,42336805,42176539,short,gene,minus
RIMKLA,1,42380792,42425813,short,gene,plus
ZMYND12,1,42456022,42430329,short,gene,minus
CCDC30,1,42456107,42657190,short,gene,plus
PPCS,1,42456341,42473417,short,gene,plus
PPIH,1,42657770,42681654,short,gene,plus
YBX1,1,42682418,42703805,short,gene,plus
CLDN19,1,42740236,42733093,short,gene,minus
P3H1,1,42767028,42746374,short,gene,minus
C1orf50,1,42767249,42779491,short,gene,plus
TMEM269,1,42784991,42800827,short,gene,plus
ERMAP,1,42817122,42844991,short,gene,plus
SVBP,1,42817397,42807052,short,gene,minus
ZNF691,1,42846563,42852477,short,gene,plus
SLC2A1,1,42958868,42925353,short,gene,minus
FAM183A,1,43142959,43156396,short,gene,plus
CFAP57,1,43172330,43254358,short,gene,plus
EBNA1BP2,1,43172570,43164174,short,gene,minus
TMEM125,1,43269865,43274002,short,gene,plus
C1orf210,1,43285840,43281877,short,gene,minus
TIE1,1,43300954,43323108,short,gene,plus
