# Updated on: July 06 2021
# NOTE: short arm = nt 10000-125184587; long arm = nt 143184588-248946422 
gene_num,gene,chr,start,end,arm,type,strand,range_start,range_end
45,MIB2,1,1613730,1630605,short,gene,plus,1600136,1631680
46,MMP23B,1,1631681,1635638,short,gene,plus,1630606,1659797
47,CDK11B,1,1635225,1659619,short,gene,minus,1630606,1659797
48,SLC35E2B,1,1659798,1692795,short,gene,minus,1659620,1702378
49,CDK11A,1,1702379,1724357,short,gene,minus,1692796,1724837
50,SLC35E2A,1,1724838,1746070,short,gene,minus,1724358,1751231
51,NADK,1,1751232,1780509,short,gene,minus,1746071,1785285
52,GNB1,1,1785286,1891087,short,gene,minus,1780510,1913750
53,CALML6,1,1913751,1917296,short,gene,plus,1891088,1917590
54,TMEM52,1,1917591,1919279,short,gene,minus,1917297,1921956
55,CFAP74,1,1921957,2003837,short,gene,minus,1919280,2019344
56,GABRD,1,2019345,2030758,short,gene,plus,2003838,2050410
57,PRKCZ,1,2050411,2185395,short,gene,plus,2030759,2228318
58,FAAP20,1,2184457,2212720,short,gene,minus,2030759,2228318
59,SKI,1,2228319,2310213,short,gene,plus,2212721,2321252
60,MORN1,1,2321253,2391554,short,gene,minus,2310214,2391840
61,RER1,1,2391841,2405436,short,gene,plus,2391555,2412480
62,PEX10,1,2403974,2413827,short,gene,minus,2391555,2508536
63,PLCH2,1,2412481,2505532,short,gene,plus,2405437,2508536
64,PANK4,1,2508537,2526622,short,gene,minus,2505533,2528744
65,HES5,1,2528745,2530554,short,gene,minus,2526623,2556370
66,TNFRSF14,1,2556371,2563829,short,gene,plus,2530555,2586522
67,PRXL2B,1,2586523,2591469,short,gene,plus,2563830,2636987
68,MMEL1,1,2590639,2633042,short,gene,minus,2563830,2636987
69,TTC34,1,2636988,2800868,short,gene,minus,2633043,3021466
70,ACTRT2,1,3021467,3022903,short,gene,plus,2800869,3069202
71,PRDM16,1,3069203,3438621,short,gene,plus,3022904,3454588
72,ARHGEF16,1,3454589,3481115,short,gene,plus,3438622,3487950
73,MEGF6,1,3487951,3624770,short,gene,minus,3481116,3625014
74,TPRG1L,1,3625015,3630127,short,gene,plus,3624771,3630766
75,WRAP73,1,3630767,3650103,short,gene,minus,3630128,3652515
76,TP73,1,3652516,3736201,short,gene,plus,3650104,3752397
77,CCDC27,1,3752398,3771645,short,gene,plus,3736202,3772748
78,SMIM1,1,3772749,3775956,short,gene,plus,3771646,3778558
79,LRRC47,1,3778559,3796498,short,gene,minus,3775957,3812085
80,CEP104,1,3812086,3857233,short,gene,minus,3796499,3857285
81,DFFB,1,3857286,3885429,short,gene,plus,3857234,3889132
82,C1orf174,1,3889133,3900293,short,gene,minus,3885430,4654608
83,AJAP1,1,4654609,4792534,short,gene,plus,3900294,5862809
84,NPHP4,1,5862810,5992425,short,gene,minus,4792535,5992638
85,KCNAB2,1,5992639,6101186,short,gene,plus,5992426,6101786
86,CHD5,1,6101787,6180321,short,gene,minus,6101187,6185019
87,RPL22,1,6185020,6199595,short,gene,minus,6180322,6206003
88,RNF207,1,6206004,6221299,short,gene,plus,6199596,6244178
89,ICMT,1,6221193,6235964,short,gene,minus,6199596,6244178
90,HES3,1,6244179,6245578,short,gene,plus,6235965,6247352
91,GPR153,1,6247353,6261098,short,gene,minus,6245579,6264271
92,ACOT7,1,6264272,6393767,short,gene,minus,6261099,6415231
93,HES2,1,6415232,6419919,short,gene,minus,6393768,6424775
94,ESPN,1,6424776,6461367,short,gene,plus,6419920,6466091
95,TNFRSF25,1,6460786,6466173,short,gene,minus,6419920,6521346
96,PLEKHG5,1,6466092,6520092,short,gene,minus,6461368,6521346
97,NOL9,1,6521347,6554535,short,gene,minus,6520093,6555306
98,TAS1R1,1,6555307,6579755,short,gene,plus,6554536,6579993
99,ZBTB48,1,6579994,6589280,short,gene,plus,6579756,6590723
100,KLHL21,1,6590724,6602869,short,gene,minus,6589281,6613730
101,PHF13,1,6613731,6624030,short,gene,plus,6602870,6624615
102,THAP3,1,6624616,6635595,short,gene,plus,6624031,6785451
103,DNAJC11,1,6634168,6701833,short,gene,minus,6624031,6785451
104,CAMTA1,1,6785452,7769706,short,gene,plus,6701834,7771274
105,VAMP3,1,7771275,7781432,short,gene,plus,7769707,7784284
106,PER3,1,7784285,7845181,short,gene,plus,7781433,7846344
107,UTS2,1,7846345,7913615,short,gene,minus,7845182,7915870
108,TNFRSF9,1,7915871,7941607,short,gene,minus,7913616,7961710
109,PARK7,1,7961711,7985505,short,gene,plus,7941608,8011724
110,ERRFI1,1,8011725,8026309,short,gene,minus,7985506,8318113
111,SLC45A1,1,8318114,8344167,short,gene,plus,8026310,8352403
112,RERE,1,8352404,8817640,short,gene,minus,8344168,8860999
113,ENO1,1,8861000,8878686,short,gene,minus,8817641,8945867
114,CA6,1,8945868,8975092,short,gene,plus,8878687,8992533
115,SLC2A7,1,8992534,9026423,short,gene,minus,8975093,9035105
116,SLC2A5,1,9035106,9072259,short,gene,minus,9026424,9100304
117,GPR157,1,9100305,9129124,short,gene,minus,9072260,9234766
118,H6PD,1,9234767,9271337,short,gene,plus,9129125,9292893
119,SPSB1,1,9292894,9369532,short,gene,plus,9271338,9539464
120,SLC25A33,1,9539465,9585173,short,gene,plus,9369533,9588842
121,TMEM201,1,9588843,9614877,short,gene,plus,9585174,9629888
122,PIK3CD,1,9629889,9729114,short,gene,plus,9614878,9848275
123,CLSTN1,1,9728926,9824526,short,gene,minus,9614878,9848275
124,CTNNBIP1,1,9848276,9910322,short,gene,minus,9824527,9922117
125,LZIC,1,9922118,9943402,short,gene,minus,9910323,9997227
126,NMNAT1,1,9942923,9996884,short,gene,plus,9910323,9997227
127,RBP7,1,9997228,10016021,short,gene,plus,9996885,10032957
128,UBE4B,1,10032958,10181239,short,gene,plus,10016022,10210569
129,KIF1B,1,10210570,10381603,short,gene,plus,10181240,10399063
130,PGD,1,10399064,10420511,short,gene,plus,10381604,10430432
131,CENPS,1,10430433,10442808,short,gene,plus,10420512,10450030
132,CORT,1,10450031,10451998,short,gene,plus,10442809,10456521
133,CENPS-CORT,1,10430433,10452153,short,gene,plus,10420512,10456521
134,DFFA,1,10456522,10472529,short,gene,minus,10452154,10474945
135,PEX14,1,10474946,10630758,short,gene,plus,10472530,10636603
136,CASZ1,1,10636604,10796650,short,gene,minus,10630759,10946472
137,C1orf127,1,10946473,10982076,short,gene,minus,10796651,11012653
138,TARDBP,1,11012654,11030528,short,gene,plus,10982077,11054588
139,MASP2,1,11026523,11047239,short,gene,minus,10982077,11054588
140,SRM,1,11054589,11060053,short,gene,minus,11047240,11066612
141,EXOSC10,1,11066613,11099869,short,gene,minus,11060054,11106534
142,ANGPTL7,1,11189324,11195981,short,gene,plus,11099870,11273197
143,MTOR,1,11106535,11273497,short,gene,minus,11099870,11479154
144,UBIAD1,1,11273198,11299574,short,gene,plus,11195982,11479154
145,DISP3,1,11479155,11537583,short,gene,plus,11299575,11648386
146,FBXO2,1,11648387,11654429,short,gene,minus,11537584,11664199
147,FBXO44,1,11654375,11663327,short,gene,plus,11537584,11664199
148,FBXO6,1,11664200,11674354,short,gene,plus,11663328,11674479
149,MAD2L2,1,11674480,11691559,short,gene,minus,11674355,11736120
150,DRAXIN,1,11686635,11725857,short,gene,plus,11674355,11736120
151,AGTRAP,1,11736121,11750771,short,gene,plus,11725858,11762187
152,C1orf167,1,11762188,11790223,short,gene,plus,11750772,11806190
153,MTHFR,1,11785723,11806103,short,gene,minus,11750772,11806190
154,CLCN6,1,11806191,11843130,short,gene,plus,11806104,11845708
155,NPPA,1,11845709,11847783,short,gene,minus,11843131,11857463
156,NPPB,1,11857464,11858945,short,gene,minus,11847784,11919590
157,KIAA2013,1,11919591,11926427,short,gene,minus,11858946,11934716
158,PLOD1,1,11934717,11975537,short,gene,plus,11926428,11980214
159,MFN2,1,11980215,12013508,short,gene,plus,11975538,12019465
160,MIIP,1,12019466,12032045,short,gene,plus,12013509,12063302
161,TNFRSF8,1,12063303,12144213,short,gene,plus,12032046,12166947
162,TNFRSF1B,1,12166948,12209222,short,gene,plus,12144214,12230029
163,VPS13D,1,12230030,12512047,short,gene,plus,12209223,12567909
164,DHRS3,1,12567910,12618210,short,gene,minus,12512048,12644084
165,AADACL4,1,12644085,12667076,short,gene,plus,12618211,12716109
166,AADACL3,1,12716110,12728760,short,gene,plus,12667077,12746199
167,C1orf158,1,12746200,12763699,short,gene,plus,12728761,12773737
168,PRAMEF12,1,12773738,12777906,short,gene,plus,12763700,12791396
169,PRAMEF1,1,12791397,12796628,short,gene,plus,12777907,12824379
170,PRAMEF11,1,12824380,12831410,short,gene,minus,12796629,12847376
171,HNRNPCL1,1,12847377,12848720,short,gene,minus,12831411,12857085
172,PRAMEF2,1,12857086,12861909,short,gene,plus,12848721,12879211
173,PRAMEF4,1,12879212,12886201,short,gene,minus,12861910,12892895
174,PRAMEF10,1,12892896,12898270,short,gene,minus,12886202,12916646
175,PRAMEF7,1,12916647,12920480,short,gene,plus,12898271,12938471
176,PRAMEF6,1,12938472,12947580,short,gene,minus,12920481,13049475
177,PRAMEF27,1,13049476,13056575,short,gene,minus,12947581,13060768
178,HNRNPCL3,1,13060769,13062878,short,gene,plus,13056576,13070773
179,PRAMEF25,1,13070774,13078038,short,gene,plus,13062879,13115487
180,HNRNPCL2,1,13115488,13116854,short,gene,minus,13078039,13148906
181,PRAMEF26,1,13148907,13156009,short,gene,minus,13116855,13163913
182,HNRNPCL4,1,13163914,13165631,short,gene,minus,13156010,13171847
183,PRAMEF9,1,13171848,13179459,short,gene,plus,13165632,13196187
184,PRAMEF13,1,13196188,13201409,short,gene,minus,13179460,13222694
185,PRAMEF18,1,13222695,13226154,short,gene,minus,13201410,13254196
186,PRAMEF5,1,13254197,13263435,short,gene,plus,13226155,13281222
187,PRAMEF8,1,13281223,13285137,short,gene,minus,13263436,13303538
188,PRAMEF33,1,13303539,13308907,short,gene,plus,13285138,13315580
189,PRAMEF15,1,13315581,13322598,short,gene,plus,13308908,13341891
190,PRAMEF14,1,13341892,13347134,short,gene,minus,13322599,13368440
191,PRAMEF19,1,13368441,13372469,short,gene,minus,13347135,13389631
192,PRAMEF17,1,13389632,13392629,short,gene,plus,13372470,13410449
193,PRAMEF20,1,13410450,13421328,short,gene,plus,13392630,13474972
194,LRRC38,1,13474973,13514003,short,gene,minus,13421329,13583756
195,PDPN,1,13583757,13617957,short,gene,plus,13514004,13698873
196,PRDM2,1,13698874,13825079,short,gene,plus,13617958,13893385
197,KAZN,1,13893386,15118043,short,gene,plus,13825080,15152417
198,TMEM51,1,15152418,15220478,short,gene,plus,15118044,15236559
199,FHAD1,1,15236560,15400283,short,gene,plus,15220479,15409887
200,EFHD2,1,15409888,15430339,short,gene,plus,15400284,15438441
201,CTRC,1,15438442,15449247,short,gene,plus,15430340,15456731
202,CELA2A,1,15456732,15472091,short,gene,plus,15449248,15476103
203,CELA2B,1,15476104,15491395,short,gene,plus,15472092,15491400
204,CASP9,1,15491401,15524912,short,gene,minus,15491396,15526693
205,DNAJC16,1,15526694,15571987,short,gene,plus,15524913,15617457
206,AGMAT,1,15571699,15585051,short,gene,minus,15524913,15617457
207,RSC1A1,1,15659713,15662033,short,gene,plus,15585052,15681505
208,DDI2,1,15617458,15669044,short,gene,plus,15585052,15681505
209,PLEKHM2,1,15681506,15734769,short,gene,plus,15669045,15735087
210,SLC25A34,1,15735088,15741392,short,gene,plus,15734770,15742498
211,TMEM82,1,15742499,15747982,short,gene,plus,15741393,15756169
212,FBLIM1,1,15756170,15786590,short,gene,plus,15747983,15807161
213,UQCRHL,1,15807162,15807699,short,gene,minus,15786591,15847706
214,SPEN,1,15847707,15940456,short,gene,plus,15807700,16004235
215,ZBTB17,1,15939933,15976132,short,gene,minus,15807700,16004235
216,SRARP,1,16004236,16008807,short,gene,plus,15976133,16014028
217,HSPB7,1,16014029,16019594,short,gene,minus,16008808,16022035
218,CLCNKA,1,16022036,16034050,short,gene,plus,16019595,16043781
219,CLCNKB,1,16043782,16057326,short,gene,plus,16034051,16057768
220,FAM131C,1,16057769,16073651,short,gene,minus,16057327,16124336
221,EPHA2,1,16124337,16156104,short,gene,minus,16073652,16197853
222,ARHGEF19,1,16197854,16212700,short,gene,minus,16156105,16231691
223,CPLANE2,1,16231692,16237445,short,gene,minus,16212701,16246839
224,FBXO42,1,16246840,16352480,short,gene,minus,16237446,16367241
225,SZRD1,1,16367242,16398145,short,gene,plus,16352481,16440723
226,SPATA21,1,16395606,16437842,short,gene,minus,16352481,16440723
227,NECAP2,1,16440724,16460078,short,gene,plus,16437843,16562322
228,NBPF1,1,16562323,16613564,short,gene,minus,16460079,16914081
229,CROCC,1,16914082,16972979,short,gene,plus,16613565,16974501
230,MFAP2,1,16974502,16981583,short,gene,minus,16972980,16985957
231,ATP13A2,1,16985958,17011972,short,gene,minus,16981584,17018721
232,SDHB,1,17018722,17054032,short,gene,minus,17011973,17066760
233,PADI2,1,17066761,17119453,short,gene,minus,17054033,17205124
234,PADI1,1,17205125,17246007,short,gene,plus,17119454,17249078
235,PADI3,1,17249079,17284233,short,gene,plus,17246008,17308194
236,PADI4,1,17308195,17364004,short,gene,plus,17284234,17372195
237,PADI6,1,17372196,17401699,short,gene,plus,17364005,17406759
238,RCC2,1,17406760,17439677,short,gene,minus,17401700,17513441
239,ARHGEF10L,1,17513442,17697875,short,gene,plus,17439678,17755332
240,ACTL8,1,17755333,17827063,short,gene,plus,17697876,18107745
241,IGSF21,1,18107746,18378483,short,gene,plus,17827064,18480929
242,KLHDC7A,1,18480930,18485974,short,gene,plus,18378484,18630845
243,PAX7,1,18630846,18748866,short,gene,plus,18485975,18839598
244,TAS1R2,1,18839599,18859660,short,gene,minus,18748867,18871429
245,ALDH4A1,1,18871430,18902555,short,gene,minus,18859661,18904279
246,IFFO2,1,18904280,18956676,short,gene,minus,18902556,19074507
247,UBR4,1,19074508,19214332,short,gene,minus,18956677,19215659
248,EMC1,1,19215660,19251524,short,gene,minus,19214333,19251798
249,MRTO4,1,19251799,19260128,short,gene,plus,19251525,19274228
250,AKR7A3,1,19274229,19289362,short,gene,minus,19260129,19302707
251,AKR7A2,1,19302708,19312146,short,gene,minus,19289363,19312301
252,SLC66A1,1,19312302,19332611,short,gene,plus,19312147,19338774
253,CAPZB,1,19338775,19485539,short,gene,minus,19332612,19596978
254,MICOS10,1,19596979,19629820,short,gene,plus,19485540,19643228
255,MICOS10-NBL1,1,19596979,19658452,short,gene,plus,19485540,19664874
256,NBL1,1,19643229,19658452,short,gene,plus,19629821,19664874
257,HTR6,1,19664875,19680966,short,gene,plus,19658453,19682212
258,TMCO4,1,19682213,19800385,short,gene,minus,19680967,19814028
259,RNF186,1,19814029,19815283,short,gene,minus,19800386,19881707
260,OTUD3,1,19881708,19912945,short,gene,plus,19815284,19920008
261,PLA2G2E,1,19920009,19923617,short,gene,minus,19912946,19975430
262,PLA2G2A,1,19975431,19980434,short,gene,minus,19923618,20028348
263,PLA2G5,1,20028349,20091911,short,gene,plus,19980435,20111938
264,PLA2G2D,1,20111939,20119536,short,gene,minus,20091912,20139322
265,PLA2G2F,1,20139323,20150386,short,gene,plus,20119537,20163054
266,PLA2G2C,1,20163055,20186518,short,gene,minus,20150387,20290874
267,UBXN10,1,20183007,20196050,short,gene,plus,20150387,20290874
268,VWA5B1,1,20290875,20360442,short,gene,plus,20196051,20482390
269,CAMK2N1,1,20482391,20486210,short,gene,minus,20360443,20499447
270,MUL1,1,20499448,20508483,short,gene,minus,20486211,20552572
271,FAM43B,1,20552573,20555020,short,gene,plus,20508484,20589096
272,CDA,1,20589097,20618903,short,gene,plus,20555021,20633457
273,PINK1,1,20633458,20651511,short,gene,plus,20618904,20651776
274,DDOST,1,20651777,20661369,short,gene,minus,20651512,20664013
275,KIF17,1,20664014,20718007,short,gene,minus,20661370,20719730
276,SH2D5,1,20719731,20732703,short,gene,minus,20718008,20740265
277,HP1BP3,1,20740266,20787307,short,gene,minus,20732704,20806291
278,EIF4G3,1,20806292,21176897,short,gene,minus,20787308,21217249
279,ECE1,1,21217250,21345504,short,gene,minus,21176898,21436774
280,NBPF3,1,21436775,21484900,short,gene,plus,21345505,21508983
281,ALPL,1,21508984,21578412,short,gene,plus,21484901,21596220
282,RAP1GAP,1,21596221,21669413,short,gene,minus,21578413,21678297
283,USP48,1,21678298,21784146,short,gene,minus,21669414,21812264
284,LDLRAD2,1,21812265,21825225,short,gene,plus,21784147,21977021
285,HSPG2,1,21822244,21937310,short,gene,minus,21784147,21977021
286,CELA3B,1,21977022,21989354,short,gene,plus,21937311,22001656
287,CELA3A,1,22001657,22012542,short,gene,plus,21989355,22052708
288,CDC42,1,22052709,22101360,short,gene,plus,22012543,22117307
289,WNT4,1,22117308,22143981,short,gene,minus,22101361,22428837
290,ZBTB40,1,22428838,22531154,short,gene,plus,22143982,22563488
291,EPHA8,1,22563489,22603595,short,gene,plus,22531155,22636462
292,C1QA,1,22636463,22639678,short,gene,plus,22603596,22643632
293,C1QC,1,22643633,22648108,short,gene,plus,22639679,22653235
294,C1QB,1,22653236,22661637,short,gene,plus,22648109,22710769
295,EPHB2,1,22710770,22921500,short,gene,plus,22661638,22953042
296,LACTBL1,1,22953043,22972866,short,gene,minus,22921501,23010833
297,TEX46,1,23010834,23015852,short,gene,minus,22972867,23019442
298,KDM1A,1,23019443,23083691,short,gene,plus,23015853,23084029
299,LUZP1,1,23084030,23177808,short,gene,minus,23083692,23191894
300,HTR1D,1,23191895,23217502,short,gene,minus,23177809,23304687
301,HNRNPR,1,23304688,23344316,short,gene,minus,23217503,23359447
302,ZNF436,1,23359448,23369836,short,gene,minus,23344317,23380908
303,TCEA3,1,23380909,23424776,short,gene,minus,23369837,23428562
304,ASAP3,1,23428563,23484631,short,gene,minus,23424777,23505695
305,E2F2,1,23505696,23531250,short,gene,minus,23484632,23557925
306,ID3,1,23557926,23559501,short,gene,minus,23531251,23691778
307,RPL11,1,23691779,23696835,short,gene,plus,23559502,23743470
308,ELOA,1,23743471,23762059,short,gene,plus,23696836,23778416
309,PITHD1,1,23778417,23788232,short,gene,plus,23762060,23790788
310,LYPLA2,1,23790789,23795539,short,gene,plus,23788233,23795598
311,GALE,1,23795599,23800754,short,gene,minus,23795540,23801884
312,HMGCL,1,23801885,23825429,short,gene,minus,23800755,23845076
313,FUCA1,1,23845077,23868332,short,gene,minus,23825430,23870514
314,CNR2,1,23870515,23913362,short,gene,minus,23868333,23959163
315,PNRC2,1,23959164,23963462,short,gene,plus,23913363,23964346
316,SRSF10,1,23964347,23980370,short,gene,minus,23963463,24056040
317,MYOM3,1,24056041,24112135,short,gene,minus,23980371,24119770
318,IL22RA1,1,24119771,24143179,short,gene,minus,24112136,24154155
319,IFNLR1,1,24154156,24187295,short,gene,minus,24143180,24319332
320,GRHL3,1,24319333,24364482,short,gene,plus,24187296,24413359
321,STPG1,1,24356999,24415533,short,gene,minus,24187296,24502343
322,NIPAL3,1,24413360,24472983,short,gene,plus,24364483,24502343
323,RCAN3,1,24502344,24541040,short,gene,plus,24472984,24556086
324,NCMAP,1,24556087,24609328,short,gene,plus,24541041,24643272
325,SRRM1,1,24643273,24673281,short,gene,plus,24609329,24745446
326,CLIC4,1,24745447,24844321,short,gene,plus,24673282,24899510
327,RUNX3,1,24899511,24965158,short,gene,minus,24844322,25222275
328,SYF2,1,25222276,25232502,short,gene,minus,24965159,25242248
329,RHD,1,25272393,25330445,short,gene,plus,25232503,25338333
330,RSRP1,1,25242249,25338254,short,gene,minus,25232503,25338333
331,TMEM50A,1,25338334,25362361,short,gene,plus,25338255,25430896
332,RHCE,1,25360659,25430193,short,gene,minus,25338255,25430896
333,MACO1,1,25430897,25500209,short,gene,plus,25430194,25543587
334,LDLRAP1,1,25543588,25590400,short,gene,plus,25500210,25616790
335,MAN1C1,1,25616791,25786207,short,gene,plus,25590401,25800192
336,SELENON,1,25800193,25818221,short,gene,plus,25786208,25819953
337,MTFR1L,1,25819954,25832938,short,gene,plus,25818222,25861483
338,AUNIP,1,25831906,25859457,short,gene,minus,25818222,25861483
339,PAQR7,1,25861484,25876707,short,gene,minus,25859458,25884178
340,STMN1,1,25884179,25906880,short,gene,minus,25876708,25959763
341,PAFAH2,1,25959764,25998164,short,gene,minus,25906881,26021774
342,EXTL1,1,26021775,26036464,short,gene,plus,25998165,26037251
343,SLC30A2,1,26037252,26046118,short,gene,minus,26036465,26051300
344,TRIM63,1,26051301,26067633,short,gene,minus,26046119,26109130
345,PDIK1L,1,26109131,26125555,short,gene,plus,26067634,26159078
346,FAM110D,1,26159079,26163962,short,gene,plus,26125556,26164100
347,C1orf232,1,26164101,26168963,short,gene,minus,26163963,26169907
348,ZNF593,1,26169908,26170873,short,gene,plus,26168964,26177490
349,CNKSR1,1,26177491,26189884,short,gene,plus,26170874,26189961
350,CATSPER4,1,26189962,26202964,short,gene,plus,26189885,26234178
351,CEP85,1,26234179,26278808,short,gene,plus,26202965,26280085
352,SH3BGRL3,1,26280086,26281522,short,gene,plus,26278809,26282281
353,UBXN11,1,26282282,26318355,short,gene,minus,26281523,26321859
354,CD52,1,26317958,26320523,short,gene,plus,26281523,26321859
355,CRYBG2,1,26321860,26354130,short,gene,minus,26320524,26361631
356,ZNF683,1,26361632,26374536,short,gene,minus,26354131,26410777
357,LIN28A,1,26410778,26429728,short,gene,plus,26374537,26432320
358,DHDDS,1,26432321,26471306,short,gene,plus,26429729,26472439
359,HMGN2,1,26472440,26476642,short,gene,plus,26471307,26529760
360,RPS6KA1,1,26529761,26575028,short,gene,plus,26476643,26696014
361,ARID1A,1,26696015,26782104,short,gene,plus,26575029,26787053
362,PIGV,1,26787054,26800659,short,gene,plus,26782105,26826687
363,ZDHHC18,1,26826688,26857604,short,gene,plus,26800660,26863148
364,SFN,1,26863149,26864456,short,gene,plus,26857605,26876131
365,GPN2,1,26876132,26890283,short,gene,minus,26864457,26890487
366,GPATCH3,1,26890488,26900467,short,gene,minus,26890284,26900568
367,NR0B2,1,26911489,26914110,short,gene,minus,26900468,26949555
368,NUDC,1,26900569,26946871,short,gene,plus,26900468,26949555
369,KDF1,1,26949556,26960496,short,gene,minus,26946872,26993662
370,TRNP1,1,26993663,27000891,short,gene,plus,26960497,27005019
371,TENT5B,1,27005020,27012850,short,gene,minus,27000892,27098808
372,SLC9A1,1,27098809,27155125,short,gene,minus,27012851,27234612
373,WDTC1,1,27234613,27308636,short,gene,plus,27155126,27322162
374,TMEM222,1,27322163,27336400,short,gene,plus,27308637,27342021
375,SYTL1,1,27342022,27353932,short,gene,plus,27336401,27355178
376,MAP3K6,1,27355179,27368037,short,gene,minus,27353933,27369109
377,FCN3,1,27369110,27374852,short,gene,minus,27368038,27379170
378,CD164L2,1,27379171,27383333,short,gene,minus,27374853,27392621
379,GPR3,1,27392622,27395814,short,gene,plus,27383334,27404229
380,WASF2,1,27404230,27490167,short,gene,minus,27395815,27534244
381,AHDC1,1,27534245,27604178,short,gene,minus,27490168,27612063
382,FGR,1,27612064,27635561,short,gene,minus,27604179,27666060
383,IFI6,1,27666061,27672229,short,gene,minus,27635562,27725960
384,FAM76A,1,27725961,27763116,short,gene,plus,27672230,27773218
385,STX12,1,27773219,27824443,short,gene,plus,27763117,27830781
386,PPP1R8,1,27830782,27851676,short,gene,plus,27824444,27872530
387,THEMIS2,1,27872531,27886679,short,gene,plus,27851677,27891523
388,RPA2,1,27891524,27914797,short,gene,minus,27886680,27934954
389,SMPDL3B,1,27934955,27959152,short,gene,plus,27914798,27959556
390,XKR8,1,27959557,27968093,short,gene,plus,27959153,27970343
391,EYA3,1,27970344,28088671,short,gene,minus,27968094,28147165
392,PTAFR,1,28147166,28193856,short,gene,minus,28088672,28200277
393,DNAJC8,1,28200278,28233029,short,gene,minus,28193857,28236123
394,ATP5IF1,1,28236124,28238100,short,gene,plus,28233030,28259451
395,SESN2,1,28259452,28282491,short,gene,plus,28238101,28329039
396,MED18,1,28329040,28335967,short,gene,plus,28282492,28369739
397,PHACTR4,1,28369740,28500364,short,gene,plus,28335968,28506042
398,RCC1,1,28506043,28538989,short,gene,plus,28500365,28553084
399,TRNAU1AP,1,28553085,28578545,short,gene,plus,28538990,28592264
400,RAB42,1,28592265,28596666,short,gene,plus,28578546,28602849
401,TAF12,1,28602850,28648707,short,gene,minus,28596667,28668781
402,GMEB1,1,28668782,28719353,short,gene,plus,28648708,28736623
403,YTHDF2,1,28736624,28769775,short,gene,plus,28719354,28812169
404,OPRD1,1,28812170,28871267,short,gene,plus,28769776,28887099
405,EPB41,1,28887100,29120041,short,gene,plus,28871268,29147742
406,TMEM200B,1,29119429,29129138,short,gene,minus,28871268,29147742
