gene,chr,start,end,arm
CORT,1,10450030,10451997,short
PEX14,1,10474945,10630757,short
TARDBP,1,11012653,11030527,short
ANGPTL7,1,11189323,11195980,short
UBIAD1,1,11273197,11299573,short
DISP3,1,11479154,11537582,short
FBXO44,1,11654374,11663326,short
FBXO6,1,11664199,11674353,short
DRAXIN,1,11686634,11725856,short
AGTRAP,1,11736120,11750770,short
C1orf167,1,11762187,11790222,short
CLCN6,1,11806190,11843129,short
PLOD1,1,11934716,11975536,short
MFN2,1,11980214,12013507,short
MIIP,1,12019465,12032044,short
TNFRSF8,1,12063302,12144212,short
TNFRSF1B,1,12166947,12209221,short
VPS13D,1,12230029,12512046,pp
AADACL4,1,12644084,12667075,short
AADACL3,1,12716109,12728759,short
C1orf158,1,12746199,12763698,short
PRAMEF12,1,12773737,12777905,short
PRAMEF1,1,12791396,12796627,short
PRAMEF2,1,12857085,12861908,short
PRAMEF7,1,12916646,12920479,short
HNRNPCL3,1,13060768,13062877,short
PRAMEF25,1,13070773,13078037,short
PRAMEF9,1,13171847,13179458,short
PRAMEF5,1,13254196,13263434,short
PRAMEF33,1,13303538,13308906,short
PRAMEF15,1,13315580,13322597,short
PRAMEF17,1,13389631,13392628,short
PRAMEF20,1,13410449,13421327,short
PDPN,1,13583756,13617956,short
PRDM2,1,13698873,13825078,short
KAZN,1,13893385,15118042,short
TMEM51,1,15152417,15220477,short
FHAD1,1,15236559,15400282,short
EFHD2,1,15409887,15430338,short
CTRC,1,15438441,15449246,short
CELA2A,1,15456731,15472090,short
CELA2B,1,15476103,15491394,short
DNAJC16,1,15526693,15571986,short
DDI2,1,15617457,15669043,short
RSC1A1,1,15659712,15662032,short
PLEKHM2,1,15681505,15734768,short
SLC25A34,1,15735087,15741391,short
TMEM82,1,15742498,15747981,short
FBLIM1,1,15756169,15786589,short
SPEN,1,15847706,15940455,pp
SRARP,1,16004235,16008806,short
CLCNKA,1,16022035,16034049,short
CLCNKB,1,16043781,16057325,short
SZRD1,1,16367241,16398144,short
NECAP2,1,16440723,16460077,short
CROCC,1,16914081,16972978,short
PADI1,1,17205124,17246006,short
PADI3,1,17249078,17284232,short
PADI4,1,17308194,17364003,short
PADI6,1,17372195,17401698,short
ARHGEF10L,1,17513441,17697874,short
ACTL8,1,17755332,17827062,short
IGSF21,1,18107745,18378482,short
KLHDC7A,1,18480929,18485973,short
PAX7,1,18630845,18748865,short
MRTO4,1,19251798,19260127,short
SLC66A1,1,19312301,19332610,short
MICOS10,1,19596978,19629819,short
MICOS10-NBL1,1,19596978,19658451,short
NBL1,1,19643228,19658451,short
HTR6,1,19664874,19680965,short
OTUD3,1,19881707,19912944,short
PLA2G5,1,20028348,20091910,short
PLA2G2F,1,20139322,20150385,short
UBXN10,1,20183006,20196049,short
VWA5B1,1,20290874,20360441,short
FAM43B,1,20552572,20555019,short
CDA,1,20589096,20618902,short
PINK1,1,20633457,20651510,short
NBPF3,1,21436774,21484899,short
ALPL,1,21508983,21578411,short
LDLRAD2,1,21812264,21825224,short
CELA3B,1,21977021,21989353,short
CELA3A,1,22001656,22012541,short
CDC42,1,22052708,22101359,short
ZBTB40,1,22428837,22531153,short
EPHA8,1,22563488,22603594,short
C1QA,1,22636462,22639677,short
C1QC,1,22643632,22648107,short
C1QB,1,22653235,22661636,short
EPHB2,1,22710769,22921499,short
KDM1A,1,23019442,23083690,short
RPL11,1,23691778,23696834,short
ELOA,1,23743470,23762058,short
PITHD1,1,23778416,23788231,short
LYPLA2,1,23790788,23795538,short
PNRC2,1,23959163,23963461,short
GRHL3,1,24319332,24364481,short
NIPAL3,1,24413359,24472982,short
RCAN3,1,24502343,24541039,short
NCMAP,1,24556086,24609327,short
SRRM1,1,24643272,24673280,short
CLIC4,1,24745446,24844320,short
RHD,1,25272392,25330444,short
TMEM50A,1,25338333,25362360,short
MACO1,1,25430896,25500208,short
LDLRAP1,1,25543587,25590399,short
MAN1C1,1,25616790,25786206,short
SELENON,1,25800192,25818220,short
MTFR1L,1,25819953,25832937,short
EXTL1,1,26021774,26036463,short
PDIK1L,1,26109130,26125554,short
FAM110D,1,26159078,26163961,short
ZNF593,1,26169907,26170872,short
CNKSR1,1,26177490,26189883,short
CATSPER4,1,26189961,26202963,short
CEP85,1,26234178,26278807,short
SH3BGRL3,1,26280085,26281521,short
CD52,1,26317957,26320522,short
LIN28A,1,26410777,26429727,short
DHDDS,1,26432320,26471305,short
HMGN2,1,26472439,26476641,short
RPS6KA1,1,26529760,26575027,short
ARID1A,1,26696014,26782103,short
PIGV,1,26787053,26800658,short
ZDHHC18,1,26826687,26857603,short
SFN,1,26863148,26864455,short
NUDC,1,26900568,26946870,short
TRNP1,1,26993662,27000890,short
WDTC1,1,27234612,27308635,short
TMEM222,1,27322162,27336399,short
SYTL1,1,27342021,27353931,short
GPR3,1,27392621,27395813,short
FAM76A,1,27725960,27763115,short
STX12,1,27773218,27824442,short
PPP1R8,1,27830781,27851675,short
THEMIS2,1,27872530,27886678,short
SMPDL3B,1,27934954,27959151,short
XKR8,1,27959556,27968092,short
ATP5IF1,1,28236123,28238099,short
SESN2,1,28259451,28282490,short
MED18,1,28329039,28335966,short
PHACTR4,1,28369739,28500363,short
RCC1,1,28506042,28538988,short
TRNAU1AP,1,28553084,28578544,short
RAB42,1,28592264,28596665,short
GMEB1,1,28668781,28719352,short
YTHDF2,1,28736623,28769774,short
OPRD1,1,28812169,28871266,short
EPB41,1,28887099,29120040,short
PTPRU,1,29236521,29326801,short
ZCCHC17,1,31297031,31365721,short
SERINC2,1,31409776,31434677,short
TINAGL1,1,31576383,31587685,short
HCRTR1,1,31617688,31632517,short
KHDRBS1,1,32013867,32060849,short
TMEM39B,1,32072030,32102865,short
KPNA6,1,32108042,32176562,short
TXLNA,1,32179668,32198284,short
CCDC28B,1,32200594,32205386,short
IQCC,1,32205670,32208681,short
DCDC2B,1,32208812,32216191,short
EIF3I,1,32221583,32236169,short
FAM167B,1,32247221,32248855,short
LCK,1,32251264,32286164,short
HDAC1,1,32292082,32333627,pp
TSSK3,1,32352719,32365264,short
ZBTB8B,1,32465071,32496685,short
ZBTB8A,1,32539426,32605940,short
RBBP4,1,32651207,32686210,short
KIAA1522,1,32741829,32774969,short
S100PBP,1,32816766,32858878,short
HPCA,1,32885964,32894645,short
AZIN2,1,33081151,33162287,short
ZNF362,1,33256306,33300718,short
ZSCAN20,1,33472590,33504252,short
HMGB4,1,33860474,33864790,short
C1orf94,1,34166992,34219130,short
GJB5,1,34754776,34758512,short
GJB4,1,34759739,34762326,short
GJB3,1,34781213,34786363,short
GJA4,1,34792957,34795746,short
ZMYM1,1,35059785,35116457,short
ZMYM4,1,35268693,35422057,short
NCDN,1,35557798,35566778,short
TFAP2E,1,35568738,35595590,short
AGO4,1,35807629,35857889,short
AGO1,1,35869760,35930531,short
AGO3,1,35925682,36072499,short
TEKT2,1,36084093,36088274,short
ADPRS,1,36088884,36093931,short
MAP7D1,1,36156149,36180848,short
THRAP3,1,36224428,36305356,short
SH3D21,1,36306347,36329220,short
ZC3H12A,1,37474517,37484376,short
DNALI1,1,37556939,37566856,short
CDCA8,1,37692515,37709718,short
MANEAL,1,37793815,37801132,short
C1orf122,1,37807789,37809453,short
UTP11,1,38012715,38024819,short
AKIRIN1,1,38991275,39006058,short
NDUFS5,1,39026349,39034614,short
MACF1,1,39084166,39487137,short
KIAA0754,1,39409072,39416481,short
BMP8A,1,39491625,39529868,short
PPIE,1,39738844,39765697,short
MFSD2A,1,39955144,39969955,short
CAP1,1,40040239,40072647,short
RLF,1,40161386,40240920,short
TMCO2,1,40247936,40251683,short
ZMPSTE24,1,40258077,40294179,short
SMAP2,1,40373671,40423325,short
ZFP69B,1,40450063,40466764,short
ZFP69,1,40477219,40496342,short
EXO5,1,40508740,40516049,short
ZNF684,1,40531636,40548166,short
NFYC,1,40691698,40771602,short
KCNQ4,1,40783786,40840456,short
CTPS1,1,40979695,41012564,short
FOXO6,1,41361433,41383589,short
GUCA2B,1,42153409,42155819,short
RIMKLA,1,42380791,42425812,short
CCDC30,1,42456106,42657189,short
PPCS,1,42456340,42473416,short
PPIH,1,42657769,42681653,short
YBX1,1,42682417,42703804,short
C1orf50,1,42767248,42779490,short
TMEM269,1,42784990,42800826,short
ERMAP,1,42817121,42844990,short
ZNF691,1,42846562,42852476,short
FAM183A,1,43142958,43156395,short
CFAP57,1,43172329,43254357,short
TMEM125,1,43269864,43274001,short
TIE1,1,43300953,43323107,short
MPL,1,43336874,43354465,short
CDC20,1,43358980,43363202,short
SZT2,1,43389883,43454246,short
PTPRF,1,43522237,43623665,short
KDM4A,1,43650148,43705517,pp
ST3GAL3,1,43707464,43931163,short
ARTN,1,43933800,43937239,short
IPO13,1,43946851,43968021,short
DPH2,1,43969996,43973368,short
ATP6V0B,1,43974959,43978294,short
B4GALT2,1,43979209,43991170,short
CCDC24,1,43991598,43996527,short
KLF17,1,44043926,44135139,short
DMAP1,1,44213470,44220672,short
RNF220,1,44405159,44651723,short
ARMH1,1,44674695,44725590,short
KIF2C,1,44739703,44767766,short
RPS8,1,44775539,44778778,short
PLK3,1,44799951,44805994,short
BTBD19,1,44807441,44815584,short
UROD,1,45012253,45015574,short
HPDL,1,45326894,45328709,short
TOE1,1,45339750,45343972,short
MMACHC,1,45500228,45513381,short
AKR1A1,1,45550778,45570050,short
NASP,1,45584040,45618892,short
TMEM69,1,45688180,45694437,short
MAST2,1,45786991,46036123,short
TSPAN1,1,46175086,46196488,short
LURAP1,1,46203333,46221255,short
RAD54L,1,46247687,46278476,short
UQCRH,1,46303697,46316775,short
NSUN4,1,46340806,46385198,short
FAAH,1,46394316,46413844,short
DMBX1,1,46489835,46516215,short
TEX38,1,46668885,46673600,short
CYP4B1,1,46799045,46819412,short
CYP4X1,1,46961363,47055431,
CYP4Z1,1,47055524,47118319,short
CYP4A22,1,47137440,47149737,short
CMPK1,1,47333789,47378838,short
FOXE3,1,47416284,47418051,short
FOXD2,1,47438043,47440690,short
SLC5A9,1,48221112,48248643,short
ELAVL4,1,50048054,50203771,pp
CDKN2C,1,50968705,50974633,short
C1orf185,1,51102187,51152282,short
RNF11,1,51236272,51273446,short
OSBPL9,1,51617083,51789218,short
BTF3L4,1,52056294,52090715,short
ZFYVE9,1,52142000,52348663,short
PRPF38A,1,52404563,52420835,short
GPX7,1,52602370,52609050,short
SHISAL2A,1,52631437,52669682,short
ZYG11B,1,52726452,52827335,short
ZYG11A,1,52842735,52894997,short
SCP2,1,52927275,53051697,short
PODN,1,53062197,53085501,short
CPT2,1,53196823,53214196,short
DMRTB1,1,53459398,53467487,short
DIO1,1,53894186,53911085,short
LRRC42,1,53946349,53968167,short
TCEANC2,1,54053607,54112519,short
MRPL37,1,54200166,54225488,short
ACOT11,1,54548227,54639191,short
MROH7,1,54641785,54710265,short
TTC4,1,54715860,54742656,short
LEXM,1,54806062,54842251,short
TMEM61,1,54980613,54992292,short
BSND,1,54998932,55017171,short
PCSK9,1,55039547,55064851,short
PRKAA2,1,56645313,56715334,short
C8A,1,56854795,56918222,short
FGGY,1,59296404,59762729,short
HOOK1,1,59814921,59876369,short
NFIA,1,61077226,61462787,short
PATJ,1,61742476,62163914,short
L1TD1,1,62194848,62212327,short
USP1,1,62436394,62451803,short
ANGPTL3,1,62597519,62606312,short
ATG4C,1,62783764,62865515,short
FOXD3,1,63322566,63325127,short
ALG6,1,63367626,63438552,short
EFCAB7,1,63523320,63585400,short
PGM1,1,63593410,63660244,short
ROR1,1,63774016,64181497,short
UBE2U,1,64202801,64267380,short
CACHD1,1,64470128,64693057,short
RAVER2,1,64744978,64833410,short
AK4,1,65147341,65232144,short
DNAJC6,1,65264748,65415870,short
LEPR,1,65420651,65641558,short
LEPROT,1,65420667,65436006,short
PDE4B,1,65792509,66374578,short
SGIP1,1,66533360,66751138,short
DYNLT5,1,66752146,66779050,short
MIER1,1,66924899,66988618,short
IL23R,1,67138638,67259978,short
IL12RB2,1,67307350,67398723,short
GADD45A,1,67685200,67688333,short
LRRC7,1,69567921,70144363,short
SRSF11,1,70205695,70253051,short
CTH,1,70411267,70441948,short
FPGT,1,74198241,74208701,short
FPGT-TNNI3K,1,74198241,74544427,short
TNNI3K,1,74235386,74544427,short
TYW3,1,74733151,74766676,short
LHX8,1,75128433,75199453,short
ACADM,1,75724708,75763678,short
RABGGTB,1,75786193,75795089,short
MSH4,1,75796881,75913241,short
ST6GALNAC3,1,76074733,76637338,short
ST6GALNAC5,1,76867448,77069166,short
AK5,1,77281907,77559965,short
MIGA1,1,77779648,77879539,short
NEXN,1,77888527,77948642,short
DNAJB4,1,77979174,78017963,short
GIPC2,1,78044969,78138443,short
PTGFR,1,78490973,78540700,short
IFI44L,1,78620411,78646144,short
IFI44,1,78648942,78664077,short
ADGRL2,1,81306103,81993931,short
PRKACB,1,84078078,84238497,short
SAMD13,1,84298537,84350797,short
DNASE2B,1,84398483,84415894,pp
RPF1,1,84479265,84498351,short
SPATA1,1,84506300,84556494,short
DNAI3,1,85062326,85133137,short
CCN1,1,85580760,85583949,short
CLCA2,1,86424143,86456552,short
CLCA1,1,86468926,86500258,short
CLCA4,1,86547077,86580757,short
SH3GLB1,1,86704569,86748183,short
HS2ST1,1,86914634,87109981,short
LMO4,1,87328879,87348922,short
PKN2,1,88684238,88836254,short
GBP6,1,89364058,89388159,short
LRRC8B,1,89522625,89597860,short
LRRC8C,1,89615809,89719532,short
LRRC8D,1,89821013,89936610,short
ZNF326,1,89995099,90035532,short
CDC7,1,91498967,91525763,pp
BRDT,1,91949370,92014427,short
EPHX4,1,92029984,92063537,short
BTBD8,1,92080344,92188508,short
C1orf146,1,92217914,92245812,short
RPAP2,1,92299049,92402055,short
RPL5,1,92831985,92841923,short
MTF2,1,93079282,93139075,short
CCDC18,1,93179801,93279036,short
DR1,1,93345906,93369492,short
FNBP1L,1,93448066,93569670,short
ABCD3,1,94418085,94518662,short
SLC44A3,1,94820350,94895246,short
TLCD4,1,95092516,95197606,short
TLCD4-RWDD3,1,95117922,95244954,short
RWDD3,1,95234154,95247224,short
PTBP2,1,96721765,96823738,short
SNX7,1,98661283,98760499,short
PLPPR4,1,99262955,99309583,pp
PALMD,1,99646112,99694534,short
AGL,1,99850076,99924022,short
SLC35A3,1,99968400,100035633,short
MFSD14A,1,100038077,100083376,short
TRMT13,1,100133131,100150495,short
RTCA,1,100266186,100292768,short
CDC14A,1,100345000,100520276,short
GPR88,1,100538138,100542020,short
VCAM1,1,100719741,100739044,short
SLC30A7,1,100896089,100996912,short
S1PR1,1,101236898,101241517,short
RNPC3,1,103525698,103555238,short
AMY2B,1,103554643,103579533,short
AMY2A,1,103617426,103625779,short
AMY1A,1,103655518,103664553,short
AMY1C,1,103745429,103758691,short
PRMT6,1,107056673,107059293,short
NTNG1,1,107140016,107484922,short
NBPF6,1,108421495,108471919,short
FAM102B,1,108560099,108639321,short
PRPF38B,1,108692309,108702927,short
FNDC7,1,108712907,108742748,short
STXBP3,1,108746673,108809522,short
GPSM2,1,108875349,108934544,short
TMEM167B,1,109090763,109096933,short
ELAPOR1,1,109114105,109206780,short
SARS1,1,109213892,109238181,short
CELSR2,1,109249538,109275750,short
SYPL2,1,109466477,109482141,short
ATXN7L2,1,109483904,109492803,short
CYB561D1,1,109493605,109500440,short
GPR61,1,109539871,109547259,short
GNAI3,1,109548614,109600194,short
AMPD2,1,109619836,109632054,short
GSTM4,1,109656075,109665496,short
GSTM2,1,109668056,109683996,short
GSTM1,1,109687816,109693744,short
GSTM5,1,109711750,109718267,short
CSF1,1,109910505,109930991,short
AHCYL1,1,109984764,110023741,short
STRIP1,1,110031576,110054640,short
UBL4B,1,110112442,110113946,short
SLC6A17,1,110150493,110202201,short
KCNC4,1,110210313,110282648,short
RBM15,1,110339376,110346676,short
PROK1,1,110451148,110457357,short
CD53,1,110871166,110899927,short
CEPT1,1,111139435,111185103,short
CHI3L2,1,111227079,111243439,short
CHIA,1,111290850,111320565,short
PIFO,1,111324662,111353016,short
ATP5PB,1,111449463,111462772,short
C1orf162,1,111462026,111478511,short
RAP1A,1,111542008,111716690,short
DDX20,1,111755900,111767999,short
CTTNBP2NL,1,112391084,112461163,short
WNT2B,1,112466540,112530164,short
CAPZA1,1,112619774,112671615,short
MOV10,1,112674426,112702376,short
TAFA3,1,112718904,112727234,short
LRIG2,1,113073169,113132259,short
MAGI3,1,113390473,113685922,short
DCLRE1B,1,113904618,113914085,short
HIPK1,1,113929323,113977868,short
OLFML3,1,113979473,113982253,short
SYCP1,1,114854267,114995369,short
TSHB,1,115029825,115035934,short
VANGL1,1,115641969,115698220,short
SLC22A15,1,115976512,116070053,short
MAB21L3,1,116111398,116138148,short
ATP1A1,1,116372985,116410258,short
CD2,1,116754429,116769228,short
PTGFRN,1,116909915,116990357,short
CD101,1,116987996,117037480,short
TTF2,1,117060302,117107452,short
MAN1A2,1,117367392,117528871,short
TENT5C,1,117606047,117628388,short
WDR3,1,117929738,117966542,short
HAO2,1,119361912,119394129,short
HSD3B2,1,119414930,119423033,short
HSD3B1,1,119507202,119515057,short
PHGDH,1,119711933,119744217,short
NBPF8,1,120415026,120469675,short
NBPF26,1,120805555,120842214,short
PPIAL4A,1,120889770,120890529,short
SRGAP2C,1,121184974,121392873,short
PPIAL4F,1,144592892,144593651,long
FAM72D,1,145093804,145112695,long
LOC101929805,1,145133551,145149890,long
GPR89A,1,145607986,145670976,long
CD160,1,145719311,145739287,long
POLR3C,1,145823182,145844401,long
NUDT17,1,145844984,145848953,long
POLR3GL,1,145959036,145978847,long
NBPF12,1,146938323,146996092,long
CHD1L,1,147172746,147295761,long
BCL9,1,147541500,147626216,long
GJA8,1,147902794,147915286,long
GPR89B,1,147928419,147993591,long
NUDT4B,1,148748773,148752414,long
PDE4DIP,1,148808197,149051276,long
NOTCH2NLC,1,149390620,149471832,long
NBPF19,1,149475044,149556360,long
PPIAL4C,1,149583847,149584606,long
FCGR1A,1,149782693,149800608,long
H4C14,1,149832656,149833051,long
H2AC19,1,149851060,149851593,long
H3C15,1,149852607,149853124,long
H2AC20,1,149886917,149887410,long
BOLA1,1,149899567,149900794,long
VPS45,1,150067278,150145328,long
PLEKHO1,1,150149564,150160064,long
CA14,1,150257257,150265861,long
C1orf54,1,150270316,150280926,long
CIART,1,150282553,150287092,long
MRPS21,1,150293841,150308978,long
PRPF3,1,150321467,150353232,long
RPRD2,1,150364146,150476565,long
TARS2,1,150487410,150507608,long
ECM1,1,150508108,150513788,long
ADAMTSL4,1,150549377,150560936,long
CTXND2,1,150887252,150913291,long
SETDB1,1,150926262,150964736,long
ANXA9,1,150982285,150996062,long
PRUNE1,1,151008404,151035712,long
BNIPL,1,151036320,151047719,long
C1orf56,1,151047750,151051419,long
MLLT11,1,151060396,151069543,long
GABPB2,1,151070179,151125541,long
TNFAIP8L2,1,151156648,151159748,long
TNFAIP8L2-SCNM1,1,151156648,151170295,long
SCNM1,1,151166143,151170295,long
PIP5K1A,1,151197953,151249535,long
PSMD4,1,151254733,151267478,long
ZNF687,1,151281521,151292175,long
PSMB4,1,151399572,151401936,long
CGN,1,151510857,151538691,long
TUFT1,1,151540293,151583582,long
SNX27,1,151612026,151699079,long
RIIAD1,1,151721521,151729804,long
OAZ3,1,151762968,151771329,long
LCE5A,1,152510802,152512176,long
CRCT1,1,152514481,152516009,long
LCE3C,1,152600233,152601085,long
LCE3B,1,152613810,152614097,long
LCE2D,1,152663379,152664658,long
LCE2C,1,152675278,152676568,long
LCE2B,1,152686122,152687396,long
LCE2A,1,152698344,152699441,long
LCE4A,1,152708159,152709433,long
C1orf68,1,152719521,152720469,long
KPRP,1,152758024,152762052,long
LCE1F,1,152775139,152777023,long
LCE1E,1,152786256,152788425,long
LCE1D,1,152796720,152798180,long
LCE1B,1,152811970,152813107,long
LCE1A,1,152827472,152828096,long
LCE6A,1,152842829,152844210,long
SMCP,1,152878321,152885046,long
IVL,1,152908545,152911885,long
SPRR4,1,152968754,152972601,long
SPRR1A,1,152984080,152985813,long
SPRR3,1,153001748,153003855,long
SPRR1B,1,153031202,153032899,long
LELP1,1,153203429,153205119,long
PRR9,1,153217583,153219309,long
LORICRIN,1,153259634,153262124,long
S100A9,1,153357853,153361022,long
S100A7A,1,153416519,153423221,long
S100A1,1,153628433,153632038,long
CHTOP,1,153634065,153646305,long
SNAPIN,1,153658653,153661851,long
NPR1,1,153678648,153693991,long
INTS3,1,153728049,153774807,long
SLC27A3,1,153775406,153780156,long
CREB3L4,1,153967486,153974363,long
RPS27,1,153990761,153992154,long
UBAP2L,1,154220171,154271509,long
HAX1,1,154272628,154275874,long
AQP10,1,154321058,154325324,long
ATP8B2,1,154325524,154351303,long
IL6R,1,154405342,154469449,long
TDRD10,1,154502218,154548146,long
CHRNB2,1,154567777,154584707,long
CKS1B,1,154974680,154979250,long
FLAD1,1,154983343,154993110,long
LENEP,1,154993585,154994320,long
ZBTB7B,1,155002627,155018522,long
DCST1,1,155033805,155050929,long
ADAM15,1,155051315,155062774,long
EFNA4,1,155063739,155069552,long
EFNA3,1,155078836,155087537,long
EFNA1,1,155127875,155134898,long
SLC50A1,1,155135374,155138852,long
TRIM46,1,155173380,155184970,long
MTX1,1,155208694,155213838,long
HCN3,1,155277426,155289847,long
FDPS,1,155308800,155320664,long
RUSC1,1,155320893,155331117,long
MSTO1,1,155610169,155614966,long
DAP3,1,155687901,155739009,long
SYT11,1,155859501,155885198,long
RXFP4,1,155941637,155943086,long
LAMTOR2,1,156054781,156058505,long
RAB25,1,156061159,156070503,long
LMNA,1,156082572,156140080,long
SEMA4A,1,156149671,156177745,long
SLC25A44,1,156194088,156212795,long
PMF1-BGLAP,1,156212987,156243331,long
PMF1,1,156213006,156240041,long
BGLAP,1,156242183,156243316,long
TMEM79,1,156282931,156292442,long
TSACC,1,156337313,156346994,long
RHBG,1,156366043,156385218,long
TTC24,1,156579722,156587718,long
NAXE,1,156591775,156599817,long
HAPLN2,1,156601503,156626607,long
BCAN,1,156642116,156659527,long
METTL25B,1,156728468,156736959,long
PRCC,1,156767534,156800814,long
NTRK1,1,156815749,156881849,long
PEAR1,1,156893696,156916428,long
LRRC71,1,156920607,156941239,long
KIRREL1,1,157993612,158100261,long
CD1D,1,158178029,158186426,long
CD1A,1,158248335,158258268,long
CD1C,1,158289886,158294773,long
CD1E,1,158353122,158357553,long
OR10K1,1,158461833,158467457,long
OR10R2,1,158479877,158480884,long
OR10Z1,1,158605267,158612513,long
OR6K6,1,158754815,158755846,long
MNDA,1,158831350,158849501,long
PYHIN1,1,158931546,158990908,long
IFI16,1,158999975,159055150,long
CADM3,1,159171591,159203312,long
ACKR1,1,159204874,159206499,long
FCER1A,1,159283574,159308201,long
OR10J1,1,159397464,159440966,long
APCS,1,159587825,159588864,long
DUSP23,1,159780961,159782542,long
FCRL6,1,159800505,159816256,long
SLAMF8,1,159826688,159837496,long
KCNJ9,1,160081537,160090562,long
ATP1A2,1,160115758,160143590,long
ATP1A4,1,160151602,160186979,long
CASQ1,1,160190574,160201885,long
PEA15,1,160205383,160215375,long
NCSTN,1,160343327,160358948,long
NHLH1,1,160367070,160372845,long
VANGL2,1,160400563,160428673,long
SLAMF7,1,160739056,160754820,long
LY9,1,160796111,160828255,long
KLHDC9,1,161098360,161100345,long
NIT1,1,161118091,161125445,long
UFC1,1,161132702,161158855,long
USP21,1,161159486,161165751,long
PPOX,1,161165823,161178276,long
NDUFS2,1,161197416,161214394,long
FCER1G,1,161215294,161219244,long
TOMM40L,1,161225942,161230745,long
PCP4L1,1,161258733,161285449,long
SDHC,1,161314380,161375339,long
FCGR2A,1,161505429,161524047,long
HSPA6,1,161524539,161526893,long
FCGR2B,1,161647242,161678653,long
FCRLA,1,161707021,161714351,long
FCRLB,1,161721543,161728142,long
DUSP12,1,161749785,161757237,long
ATF6,1,161766319,161964069,long
NOS1AP,1,162069690,162370474,long
C1orf226,1,162378840,162386811,long
UHMK1,1,162497173,162529630,long
UAP1,1,162561530,162599836,long
DDR2,1,162630862,162787404,long
HSD17B7,1,162790701,162812822,long
RGS4,1,163068870,163076801,long
NUF2,1,163321947,163355763,long
PBX1,1,164559183,164886046,long
LRRC52,1,165543999,165563956,long
MGST3,1,165631233,165656135,long
UCK2,1,165827613,165911617,long
POGK,1,166839446,166856358,long
MAEL,1,166921120,167022213,long
STYXL2,1,167094047,167129164,long
POU2F1,1,167220877,167427344,long
RCSD1,1,167630231,167708695,long
MPZL1,1,167721981,167791918,long
DCAF6,1,167936238,168075835,long
TIPRL,1,168178961,168202108,long
SFT2D2,1,168226003,168253020,long
TBX19,1,168280876,168314425,long
XCL1,1,168574127,168582068,long
ATP1B1,1,169106689,169132718,long
BLZF1,1,169368194,169396574,long
C1orf112,1,169794729,169854079,long
NTMT2,1,170145958,170168865,long
GORAB,1,170532133,170553833,long
PRRX1,1,170662727,170739420,long
MROH9,1,170935470,171066340,long
FMO3,1,171090872,171117818,long
FMO2,1,171185207,171212685,long
FMO1,1,171248472,171285977,long
FMO4,1,171314130,171342083,long
PRRC2C,1,171485495,171593510,long
MYOCOS,1,171619762,171626887,long
METTL13,1,171781659,171797715,long
DNM3,1,171841494,172418465,long
C1orf105,1,172418559,172468828,long
SUCO,1,172532348,172611832,long
FASLG,1,172659102,172666875,long
PRDX6,1,173477334,173488814,long
TEX50,1,173603002,173637129,long
KLHL20,1,173714911,173786825,long
DARS2,1,173824672,173858545,long
ZBTB37,1,173868081,173903546,long
